story_num,speaker,fname,utt_num,utt_translation,sent_num,words,sent_translation
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,8,I spoke. Well I will go pick him up.,1,"['ti', 'xaigIa', 'igA', 'xai', '-ai']",I thus spoke!
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,8,I spoke. Well I will go pick him up.,2,"['xaI', 'ti', 'aigIa', 'hi', 'xoi', '-si', 'kaop', '-aI']","""Well thus I will seek him out in that place."""
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,9,He is really putting dirt up in his mouth on the ground,1,"['hi', 'Ao', 'big', '*', '-o', '-b', 'Ao', '-p', '-aI', '-xai']",He was putting dirt up in [his] mouth!
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,10,"Thus I spoke.  Xopisi, don't be so sleepy (lazy)!",1,"['ti', 'xaigIa', 'igA', 'xai', '-aI']",I thus spoke!
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,10,"Thus I spoke.  Xopisi, don't be so sleepy (lazy)!",2,"['xopIsi', 'hi', 'o', '*', '-b', 'a', '-p', '-I', '-aag', '-ag', '-i', '-sahaxaI']","""Xopisi, don't be so sleepy!""  ###Or possibly: Xopisi mustn't be sleepy."
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,11,He just fell by the fire.,1,"['*', 'hoaI', '*', '-b', '-O', '-i', '-hI', 'pixAi', '-xIga']",[TixohOI] certainly fell by the fire just now.
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,12,Did he burn himself?  (lit: Did he fall directly down (on the fire)?),1,"['hI', 'O', '-b', '-a', '-hoihI']",Did he fall directly down [on the fire]?
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,13,XigaOxixaihoai then spoke.  Kato are you sleeping?,1,"['xigaOxixaihoai', 'hi', 'aigIa', 'igA', 'xai', '-haxA']",XigaOxixaihoai thus certainly spoke.
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,13,XigaOxixaihoai then spoke.  Kato are you sleeping?,2,"['katO', 'hi', 'o', '*', '-b', '-a', '-p', '-I', '-ai', '-hI']","""Kato, you certainly are sleepy.  ###Or possibly, ""Kato certainly is sleepy."
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,14,Your young first born son is by the fire now.,1,"['gIxai', 'piihI', 'hOi', '-kOoI', 'pixAi', '-xIga', 'hoaI', '*']",""" Your young first born child is by the fire right now."" # favorite?"
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,15,"She said (my sister is angry) she said, ""Did he fall in the fire?  Did he fall in the fire just now?""",1,"['hi', 'aigIa', 'igA', 'xai']",She [speaker's sister] thus spoke.
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,15,"She said (my sister is angry) she said, ""Did he fall in the fire?  Did he fall in the fire just now?""",2,"['xahaig', 'OtI', '-ha', 'xaI']",[My] sister is certainly angry.
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,15,"She said (my sister is angry) she said, ""Did he fall in the fire?  Did he fall in the fire just now?""",3,"['hi', 'igA', 'xai', '-xai']",She spoke!
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,15,"She said (my sister is angry) she said, ""Did he fall in the fire?  Did he fall in the fire just now?""",4,"['*', 'hoaI', '-b', '-O', '-i', '-hI']","""[TixohOI] fell in the fire?"""
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,15,"She said (my sister is angry) she said, ""Did he fall in the fire?  Did he fall in the fire just now?""",5,"['*', 'hoaI', '-b', '-O', '-i', '-hI', 'pixAi', '-xIga']","""[He] fell in the fire just now?"""
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,16,Did TixohOi burn himself? (lit: fall directly on (the fire)),1,"['hi', 'o', '-b', '-a', '-hoihI', 'tixohOI']","""Did Tixohoi fall down [in the fire]?"""
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,17,He is crying by the fire.,1,"['*', 'hoaI', 'is', '-Aaga', '-haI']","""[He] is crying by the fire."""
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,18,"I then spoke.  Well Opisi, did he burn himself now?",1,"['tIi', 'xaigIa', 'igA', 'xai', '-ai']",I thus spoke!
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,18,"I then spoke.  Well Opisi, did he burn himself now?",2,"['xaI', 'xopIsi', 'hi', 'o', '-b', '-a', '-hoihI', 'pixAi', '-xIga']","""Well, Xopisi, did he fall down [in the fire] just now?"""
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,19,Well XoI the relative is very angry.,1,"['xaI', 'xoI', 'hi', 'aigIa', 'ahaig', 'Oti', '*', '-haxA']",Well XoI the relative certainly was angry.
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,20,XoI spoke.  Hoagaixoxai are you sleepy (lit: are your eyes fluttering)? (Are) you a man?,1,"['xoI', 'hi', 'igA', 'xai', '-xi']",XoI certainly spoke.
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,20,XoI spoke.  Hoagaixoxai are you sleepy (lit: are your eyes fluttering)? (Are) you a man?,2,"['hoagaixoxai', 'hi', 'o', '*', '-b', '-a', '-p', '-I', 'ai', '-hI']","""Hoagaixoxai, are you sleepy?"""
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,20,XoI spoke.  Hoagaixoxai are you sleepy (lit: are your eyes fluttering)? (Are) you a man?,3,"['gIxai', 'xigihI', '*']","""[Are] you a man?"""
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,21,He will not go get his son.  (lit: He will not move in the environment to pick up and bring back his son),1,"['hi', 'hoA', 'xo', 'Agi', '-ti', '-ig', '-o', '-p', '-i', '-haiba', '-haI']",He [Hoagaixoxai] will not go grab and pick up [his] son.
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,22,"He is on the ground, under the ground (digging himself in)",1,"['hi', 'big', '-O', '*']",He [TixohOI] [is] on the ground.
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,22,"He is on the ground, under the ground (digging himself in)",2,"['hi', 'biIi', '-gi', '-O', '*']",He [is] under the ground [digging himself in].
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,23,'Where is he?  I do not know.' (one speaker to the other) 'His hips are near the head of the bed. (answer to first speaker),1,"['hi', 'go', '-O', '*']","""Where [is] he?"""
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,23,'Where is he?  I do not know.' (one speaker to the other) 'His hips are near the head of the bed. (answer to first speaker),2,"['ti', 'Oo', '-s', 'aaga']","""I do not know."" ###Lit: ""I am unaware/ignorant."" ""I am no-eyes."""
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,23,'Where is he?  I do not know.' (one speaker to the other) 'His hips are near the head of the bed. (answer to first speaker),3,"['*', 'bAas', 'A', '-p', '-ai', 'go', '-O', '-hA']","""[He] is certainly near the upper part [the head] of the bed."""
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,24,His face is there on the ground.  It is there on the ground.,1,"['kos', 'ai', 'gAi', 'big', '-O']",[His] face is there on the ground.
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,24,His face is there on the ground.  It is there on the ground.,2,"['kos', 'ai', 'gAi', 'big', '-O']",[His] face is there on the ground.
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,25,Well I nearly went to see Kato.,1,"['xaI', 'ti', 'aigIa', 'hI', 'Xoi', 'kaob', '-Ibai', 'katO']",Well then I almost went to Kato.  ###Lit: Then I almost sought her out at the jungle/place.
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,26,Then I nearly cried out so she'd pick him up.  (lit:  I almost cried (to) her (such that) (she) picked (him) up.),1,"['ti', 'xi', 'osibAop', '-Abag', '-aO']",I nearly shouted to her.
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,27,But I spoke.  Kato is sleepy. (lit:Kato's eyes are fluttering),1,"['xigIa', '*', 'igA', 'xai']","Okay, [I] spoke."
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,27,But I spoke.  Kato is sleepy. (lit:Kato's eyes are fluttering),2,"['katO', 'hi', 'o', '*', '-b', '-a', '-p', '-I', '-a']","""Kato certainly is sleepy."""
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,28,Well I almost started to go and beat KatO.,1,"['katO', 'ti', 'xaigIa', 'ib', '-A', '-b', '-o', '-I', '-ta', '-g', '-ab', '-AbagaI']",I thus almost started beating up Kato. ###Lit: Kato -- I thus nearly hit [her] repeatedly.
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,29,Is he sleeping?,1,"['hi', 'o', '*', '-b', '-a', '-p', '-I', '-o', 'aI', '-hI']",Is he sleeping?
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,30,Well then I went and picked him up.,1,"['ti', 'aigIa', 'hi', 'xoa', '-o', '-p', 'aI', '-xai']",I thus picked him up!
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,31,XopIsi spoke.  Is KatO intensely sleepy?,1,"['xopIsi', 'hi', 'aigIa', 'igA', 'xai', '-hI']",XopIsi thus spoke?
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,31,XopIsi spoke.  Is KatO intensely sleepy?,2,"['katO', 'hi', 'o', '*', '-b', '-a', '-p', '-I', '-bAaI']","""KatO is very sleepy."""
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,32,She will not go and pick him up.,1,"['xi', 'hi', 'xoA', 'gi', '-ti', '-ig', '-A', '-o', '-p', '-I', '-hiaba', '-haI']",She will not pick him up.
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,34,Well then I went to pull him up again.,1,"['ti', 'aigIa', 'hi', 'o', 'ah', '-A', '-p', '-i', '-ta', '-I']",I thus went to pull him up again.
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,35,"I went up to him.  (3 person can be used for 1 person in texts, as the speaker takes a 'narrative perspective')",1,"['*', 'hI', 'xoI', '-si', 'kaop', '-aI']",[I] sought him out in that place.
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,36,Is he all wrapped up in the cloth? (lit: He is turned down/tied.  Is it being the cloth?),1,"['hi', 'O', '-b', '-o', '-i']",He is tied.
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,36,Is he all wrapped up in the cloth? (lit: He is turned down/tied.  Is it being the cloth?),2,"['hi', 'ai', '-hI', 'baOsaI']",Is it cloth?
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,37,He is in (the cloth).  He is.  He is in.  He is being in.,1,"['hi', 'O', '-xai']",He is tied. # Tied?!?!? Turn!??!!
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,37,He is in (the cloth).  He is.  He is in.  He is being in.,2,"['xi', 'xai']",She/he is.
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,37,He is in (the cloth).  He is.  He is in.  He is being in.,3,"['hi', 'O', '-xai']",He is tied.
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,37,He is in (the cloth).  He is.  He is in.  He is being in.,4,"['hi', 'O', '-xaagA']",He has been tied.
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,38,"Well then my sister, BAIgipOhoasi, took XigaOxixaihoAi.",1,"['xigaOxixaihoAi', 'hi', 'aigIa', 'ti', 'Ahai', 'xoa', '*', '-O', '-p', 'a', '-hA', 'bAIgipOhoasi']","Well thus my sister, BAIgipOhoasi, certainly took XigaOxixaihoAi."
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,39,I then spoke.  Sister is angry.,1,"['ti', 'igA', 'xai']",I spoke.
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,39,I then spoke.  Sister is angry.,2,"['*', 'xaOpI', '*', '-so']","""[She is] angry."""
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,39,I then spoke.  Sister is angry.,3,"['xahaig', 'OtI', '*', '-sai', '-haxA']","""(As has been mentioned,) [my] sister certainly [is] angry."""
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,40,She spoke.  Well is Hoagaixoxai really sleepy?,1,"['hi', 'igA', 'xai']",She spoke.
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,40,She spoke.  Well is Hoagaixoxai really sleepy?,2,"['xaI', 'hoagaIxOxaI', 'hi', 'o', '*', '-b', '-a', '-p', '-i', '-baA', '-xaO', '-xoi', '-hI']","""Well is Hoagaixoxai very sleepy?"""
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,41,He doesn't go get his son.,1,"['hoagI', 'hi', 'xo', 'Agi', '-ti', '-g', '-o', '-p', '-i', '-hiaba', '-haI']",He doesn't go get [his] son.
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,42,He sings/chants/whines (repetitive sounds).,1,"['xI', 'sa', '-ha', '-xaI']",She/he certainly whines.
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,43,I went to pick her up.,1,"['ti', 'xaigIa', 'xoa', '*', '-O', '-p', '-a', '-i', 'xai']",I thus picked [him] up.
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,44,I really spoke.  TixohOi is on the ground crying.,1,"['ti', 'igA', 'xai', '-aI']",I spoke!
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,44,I really spoke.  TixohOi is on the ground crying.,2,"['tixohOI', 'big', 'aI', 'is', '-Aaga', '-haI']","""TixohOi is on the ground crying."""
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,45,"(Continuing our main discussion), are the ants biting him?",1,"['xIbohoi', 'hi', 'ig', 'ap', '-o', '-p', '-I', '-sai', '-xI']",Are ants biting him (as has been mentioned)? 
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,46,His hips are over there.  Over there.,1,"['hi', 'go', '-O', '-xio', 'tiaos', 'ai']",His hips are over there.
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,46,His hips are over there.  Over there.,2,"['i', 'go', '-O', '-xio', '*']",He [is] over there.
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,47,"Yes, and over there on the ground is his head, over by the head of the bed.",-1,,
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,47,"Yes, and over there on the ground is his head, over by the head of the bed.",1,"['hi', 'aigIa', 'gAi', '*']",He thus [is] here. 
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,47,"Yes, and over there on the ground is his head, over by the head of the bed.",2,"['hi', 'igAi']",He spoke.
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,47,"Yes, and over there on the ground is his head, over by the head of the bed.",3,"['big', '-O', 'apaO', '*', '-sai', 'i', 'bas', '-Apa', '-O', '-xio']","(As has been mentioned,) [his] head [is] on the ground, over by the head of his bed."
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,48,He is throwing up a lot of dirt for sure.,1,"['hi', 'gI', 'big', '*', '-o', '-p', '-i', '-hI', '-xigI']",He certainly is really throwing dirt at you.
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,49,Well I called Hoagaixoxai.  He (then) almost shook his wife.,1,"['hi', 'aigIa', 'hoagaixoOxai', 'hi', '-gI', 'ti', 'aobab', '-aO']",Well Hoagaixoxai heard me calling.
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,49,Well I called Hoagaixoxai.  He (then) almost shook his wife.,2,"['kAgi', 'hi', 'o', '-s', 'ib', '-Ao', '-p', '-Abai', '-ha', '-xAi']","He, the ignorant one, certainly then almost shook his wife. # where is ignorant one?"
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,50,Might he not hit wife not hit his hand.,1,"['*', 'kagihi', '-gI', 'ao', 'Ib', '-I', '-sahaxaI']",Don't hit your wife!
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,51,He is angry at you for me.,1,"['tIi', 'hi', 'gIxa', 'otI', '*', '-saa', '-hA']","(As has ben mentioned,) he certainly [is] angry at you [because of] me."
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,52,I alone will go get him!,1,"['*', 'xabaxaI', 'hi', 'xo', '-aO', '-p', '-aI']",[I] alone will go get her!
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,53,Well I got Kato.,1,"['ti', 'xaigIa', 'katO', 'hi', 'xO', '-p', '-I']",I thus certainly went and got Kato.
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,54,He is in the dirt crying.,1,"['hi', 'big', 'aI']",He [TixohOI] is in the dirt.
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,54,He is in the dirt crying.,2,"['*', 'xis', '-Aaga', '-haI']",[He] is crying. # Why is this a second sentence?
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,55,"As has been said, the ants could be biting his flesh.",1,"['xi', 'higIhi', 'aab', '-O', '-p', '-I', '-sai', '-xo', '-Ai']","(As has been mentioned,) the ants could be biting [his] flesh."
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,56,Well I went to him.  I spoke.  ToIao why are you getting up? (lit: what is associated with your rising?),1,"['ti', 'xaigIa', 'hi', 'xo', '-aO', '*', '-p', '-ao']",I thus went to him in the jungle.
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,56,Well I went to him.  I spoke.  ToIao why are you getting up? (lit: what is associated with your rising?),2,"['*', 'gA', 'xai', '-ai']",[I] spoke.
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,56,Well I went to him.  I spoke.  ToIao why are you getting up? (lit: what is associated with your rising?),3,"['toIao', 'hi', 'go', '-g', '-i', '-aI', 'sito', '-aO', '-p', '-i', '-hI']",Why is ToIao getting up?
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,57,"ToIao, did he burn himself just now? (lit: might he have fallen down directly (onto the fire))",1,"['toIao', 'hi', 'o', '-b', '-A', '-hoIsOi', '-xAi', '-hI', 'pixAi', '-xIga']",Might ToIao have fallen down directly [in the fire] just now?
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,58,Well then Opisi woke up.,1,"['xaI', 'xopIsi', 'hi', 'aigIa', 'ko', 'k', 'ah', '-A', '-p', '-i']",Well then Xopisi certainly woke up.
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,59,Then he was talking.  I was angry.  I spoke.  I was angry.  I was quite angry.  I'll go get him!,1,"['xaI', 'hi', 'aigIa', 'ti', 'igA', 'xai']",Then he spoke to me.
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,59,Then he was talking.  I was angry.  I spoke.  I was angry.  I was quite angry.  I'll go get him!,2,"['*', 'xaopI', '*', '-so']","""[I] was angry."""
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,59,Then he was talking.  I was angry.  I spoke.  I was angry.  I was quite angry.  I'll go get him!,3,"['ti', 'gA', 'xai']","""I spoke."""
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,59,Then he was talking.  I was angry.  I spoke.  I was angry.  I was quite angry.  I'll go get him!,4,"['*', 'xaopI', '*', '-so']","""[I] was angry."""
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,59,Then he was talking.  I was angry.  I spoke.  I was angry.  I was quite angry.  I'll go get him!,5,"['*', 'xaopI', '*', '-ha']","""[I] was certainly angry."""
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,59,Then he was talking.  I was angry.  I spoke.  I was angry.  I was quite angry.  I'll go get him!,6,"['*', 'xAi', 'xo', '-aab', '-a', '-b', '-aO']","""[I] went to get [her]!"""
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,60,Xoii was thus really mad at his brothers wife it seems.,-1,,
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,60,Xoii was thus really mad at his brothers wife it seems.,1,"['xoii', 'hi', 'aigIa', 'hi', 'Ahaig', '-O', 'kagi', 'otI', '*', '-haI']",Xoii was thus really mad at his brother's wife (it seems).
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,61,"Xoii thus spoke (as we have been discussing), so it was heard. ""(I) will eat you right now ('eat'=have sex.)  (I) will hit inside you in the daylight."" (implying that she is too sleepy to know better.)",1,"['xoii', 'hi', 'aigIa', 'gA', '-sai', '-hIai', '-aI']","(I heard that as has been mentioned,) Xoii thus spoke."
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,61,"Xoii thus spoke (as we have been discussing), so it was heard. ""(I) will eat you right now ('eat'=have sex.)  (I) will hit inside you in the daylight."" (implying that she is too sleepy to know better.)",2,"['*', 'xI', 'oho', '-ab', '-a', '-haI', 'pixAi', '-xIga']","""I [could be] eating her/you right now."" ['eat'=have sex.]"
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,61,"Xoii thus spoke (as we have been discussing), so it was heard. ""(I) will eat you right now ('eat'=have sex.)  (I) will hit inside you in the daylight."" (implying that she is too sleepy to know better.)",3,"['*', 'xIo', '-si', 'ib', '-i', '-haI']","""[I could] hit [your] insides!"""
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,61,"Xoii thus spoke (as we have been discussing), so it was heard. ""(I) will eat you right now ('eat'=have sex.)  (I) will hit inside you in the daylight."" (implying that she is too sleepy to know better.)",4,"['his', 'Ai']","""[While the] sun was [up, even]!"""
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,62,Xoii thus spoke.  He thus spoke.  I will eat you right now.  I will hit inside you.  With my pointy thing I will hit for a while.  In the sun even.,1,"['hi', 'aigIa', 'igA', 'xai', 'xoii']",Xoii thus spoke.
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,62,Xoii thus spoke.  He thus spoke.  I will eat you right now.  I will hit inside you.  With my pointy thing I will hit for a while.  In the sun even.,2,"['hi', 'aigIa', 'igA', '-sai']","(As has been mentioned,) he thus spoke."
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,62,Xoii thus spoke.  He thus spoke.  I will eat you right now.  I will hit inside you.  With my pointy thing I will hit for a while.  In the sun even.,3,"['*', 'i', 'oho', '-i', '-haI', 'pixai', '-xIga']","""[I] will eat you right now!"""
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,62,Xoii thus spoke.  He thus spoke.  I will eat you right now.  I will hit inside you.  With my pointy thing I will hit for a while.  In the sun even.,4,"['*', 'goi', 'xIo', '-si', 'ib', '-i', '-haI']","""[I] will hit your insides."""
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,62,Xoii thus spoke.  He thus spoke.  I will eat you right now.  I will hit inside you.  With my pointy thing I will hit for a while.  In the sun even.,5,"['*', '*', 'ig', '*', '-I', '-a']","""With [it]"""
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,62,Xoii thus spoke.  He thus spoke.  I will eat you right now.  I will hit inside you.  With my pointy thing I will hit for a while.  In the sun even.,6,"['*', 'ito', '-ii', 'ib', '-i', '-ab', '-aI', '-haI']","""[With my] pointy thing [I could be] hitting."""
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,62,Xoii thus spoke.  He thus spoke.  I will eat you right now.  I will hit inside you.  With my pointy thing I will hit for a while.  In the sun even.,7,"['Is', 'aI', '-ha', '-xa', '-xaI']","""[While the] sun was certainly [up, even]!"""
1,Aogioso,01_KATO'S BABY FALLS NEAR THE FIRE.pdf,63,I picked up the child.  I spoke.  Why are you so lazy/sleep so much (lit: why do your eyes flutter?),1,"['hi', 'aigIa', 'tihoa', 'xoA', 'O', '-p', '-i', '-so']",I thus picked up the child.
