,Line,Spkr,StTime,Content,EnTime
272,273,ATL_se0_ag1_f_01,338.4564,"Um, I'm not really a friend person.",340.6358
273,274,ATL_se0_ag1_f_01,340.6358,(pause 0.37),341.0037
274,275,ATL_se0_ag1_f_01,341.0037,"I have so much family, like",342.5317
275,276,ATL_se0_ag1_f_01,342.5317,(pause 0.54),343.0694
276,277,ATL_se0_ag1_f_01,343.0694,"we so close. I got one cousin, I got one friend-",345.9735
277,278,ATL_int_01,345.9565,Mm-hm.,346.4037
278,279,ATL_se0_ag1_f_01,346.4094,And then I got my sister.,347.7566
279,280,ATL_int_01,347.8529,That's beautiful.,348.6111
280,281,ATL_int_01,348.6111,(pause 0.31),348.9166
281,282,ATL_int_01,348.9166,You can count them all on a hand. That's-,350.3488
282,283,ATL_int_01,350.3488,(pause 0.18),350.5299
283,284,ATL_int_01,350.5299,I mean might have,351.4017
284,285,ATL_int_01,351.4017,(pause 0.35),351.7527
285,286,ATL_int_01,351.7527,some good quality over quantity.,353.7736
286,287,ATL_int_01,353.7736,(pause 0.62),354.3901
287,288,ATL_int_01,354.3901,[That's how I would] look at it.,355.4431
288,289,ATL_se0_ag1_f_01,354.4015,[Hell yeah.],355.0977
289,290,ATL_int_01,355.9922,"Um,",356.6658
290,291,ATL_se0_ag1_f_01,356.8008,And [they] the only ones who stayed down [like] hey.,359.9992
291,292,ATL_int_01,356.9266,was-,357.243
292,293,ATL_int_01,357.243,(pause 2.00),359.2403
293,294,ATL_int_01,359.2403,[<laugh>],359.6497
294,295,ATL_se0_ag1_f_01,360.1335,"[Everybody], let's go.",361.3493
295,296,ATL_int_01,360.3134,[So-],360.6235
296,297,ATL_int_01,361.4299,"So your one friend in- in particular,",363.7392
297,298,ATL_int_01,363.7392,(pause 0.28),364.0183
298,299,ATL_int_01,364.0183,"um, what do you do together",365.4636
299,300,ATL_int_01,365.4636,(pause 0.18),365.6435
300,301,ATL_int_01,365.6435,with that friend?,366.5615
301,302,ATL_se0_ag1_f_01,367.8415,<ts>,367.947
302,303,ATL_se0_ag1_f_01,367.947,(pause 0.27),368.2133
303,304,ATL_se0_ag1_f_01,368.2133,"Smoke,",369.1522
304,305,ATL_se0_ag1_f_01,369.1522,(pause 0.12),369.274
305,306,ATL_se0_ag1_f_01,369.274,"[workout], eat.",370.8495
306,307,ATL_int_01,369.274,[Okay.],369.8136
307,308,ATL_int_01,370.9302,Yeah.,371.3954
308,309,ATL_se0_ag1_f_01,372.394,Talk about boys.,373.8641
309,310,ATL_int_01,373.9094,[Yeah.],374.5421
310,311,ATL_se0_ag1_f_01,374.1017,[/?/],374.7851
311,312,ATL_int_01,375.8509,[How- how'd-],376.3639
312,313,ATL_se0_ag1_f_01,376.0509,[Just chill.],376.924
313,314,ATL_int_01,376.922,how'd you meet him?,377.6001
314,315,ATL_se0_ag1_f_01,378.3258,Sixth grade. At /RD-SCHOOL-6/.,380.908
315,316,ATL_int_01,381.0755,"Uh, okay, okay. That's",383.5753
316,317,ATL_int_01,383.5753,(pause 0.73),384.3072
317,318,ATL_int_01,384.3072,over a decade right about there.,386.1991
318,319,ATL_int_01,386.1991,(pause 0.82),387.0197
319,320,ATL_int_01,387.0197,Damn near.,387.609
320,321,ATL_se0_ag1_f_01,387.6338,Yep.,388.0898
321,322,ATL_int_01,388.8247,"Let's see, um,",390.2638
322,323,ATL_int_01,390.2638,(pause 2.38),392.6413
323,324,ATL_int_01,392.6413,"since you said something about, um,",394.5704
324,325,ATL_int_01,394.5704,(pause 0.19),394.7565
325,326,ATL_int_01,394.7565,about school.,396.0777
326,327,ATL_int_01,396.0777,(pause 0.29),396.3692
327,328,ATL_int_01,396.3692,How was school for you,397.3926
328,329,ATL_int_01,397.3926,(pause 0.17),397.5674
329,330,ATL_int_01,397.5674,coming up?,398.0564
330,331,ATL_se0_ag1_f_01,398.983,<ts>,399.0817
331,332,ATL_se0_ag1_f_01,399.0817,(pause 0.17),399.2554
332,333,ATL_se0_ag1_f_01,399.2554,"Um,",400.0804
333,334,ATL_se0_ag1_f_01,400.0804,(pause 0.47),400.554
334,335,ATL_se0_ag1_f_01,400.554,school was,401.7698
335,336,ATL_se0_ag1_f_01,401.7698,(pause 0.40),402.1707
336,337,ATL_se0_ag1_f_01,402.1707,what-,402.8779
337,338,ATL_se0_ag1_f_01,402.8779,(pause 0.37),403.25
338,339,ATL_se0_ag1_f_01,403.25,what you made it at my school. When I went to /RD-SCHOOL-3/ el- Well /RD-SCHOOL-3/ middle and high. And I went to /RD-SCHOOL-2/ elementary and it was like,409.5267
339,340,ATL_se0_ag1_f_01,409.5267,(pause 0.44),409.9628
340,341,ATL_se0_ag1_f_01,409.9628,"in the beginning,",410.8684
341,342,ATL_se0_ag1_f_01,410.8684,(pause 0.65),411.5135
342,343,ATL_se0_ag1_f_01,411.5135,it was good. It was a excellent school you know. We was all,414.5095
343,344,ATL_se0_ag1_f_01,414.5095,(pause 0.10),414.6105
344,345,ATL_se0_ag1_f_01,414.6105,"cool. And then you got folks moving in from crazy areas. Then you got everybody else. Around my area growing up, venturing out and stuff.",421.8201
345,346,ATL_int_01,421.8697,[Mm-hm.],422.3411
346,347,ATL_se0_ag1_f_01,422.2791,"[So] it's like,",423.1336
347,348,ATL_se0_ag1_f_01,423.5755,one day you might have-,424.8285
348,349,ATL_se0_ag1_f_01,424.8285,(pause 0.53),425.3619
349,350,ATL_se0_ag1_f_01,425.3619,We might make-,426.2738
350,351,ATL_se0_ag1_f_01,426.2738,(pause 0.27),426.5485
351,352,ATL_se0_ag1_f_01,426.5485,"What is it called? The, um,",428.2729
352,353,ATL_se0_ag1_f_01,428.2729,(pause 0.32),428.5893
353,354,ATL_se0_ag1_f_01,428.5893,"we might meet all our criterias, or something then the next day,",431.3681
354,355,ATL_se0_ag1_f_01,431.3681,(pause 0.35),431.7155
355,356,ATL_se0_ag1_f_01,431.7155,"they want a food fight,",432.739
356,357,ATL_se0_ag1_f_01,432.739,(pause 0.19),432.9269
357,358,ATL_se0_ag1_f_01,432.9269,or something like that.,433.8945
358,359,ATL_int_01,434.093,Mm-hm.,434.5148
359,360,ATL_int_01,434.5148,(pause 0.43),434.9428
360,361,ATL_int_01,434.9428,[<laugh>],436.599
361,362,ATL_se0_ag1_f_01,435.3646,"[Or],",435.7802
362,363,ATL_se0_ag1_f_01,435.7802,(pause 0.63),436.4129
363,364,ATL_se0_ag1_f_01,436.4129,"[or] the next day you know, you got these gang members quote unquote. Coming in and out of the school. We like, who are y'all? Where'd y'all come from?",444.1311
364,365,ATL_int_01,444.2694,"So /wrong way/ um,",445.7271
365,366,ATL_int_01,445.7271,(pause 0.42),446.1426
366,367,ATL_int_01,446.1426,"I guess, what grade was that happening?",448.0283
367,368,ATL_se0_ag1_f_01,448.7292,That was like seventh grade.,450.4164
368,369,ATL_int_01,450.5033,Okay.,450.9065
369,370,ATL_int_01,450.9065,(pause 0.20),451.1111
370,371,ATL_int_01,451.1111,Damn.,451.6198
371,372,ATL_int_01,451.6198,(pause 0.30),451.9193
372,373,ATL_int_01,451.9193,Early.,452.3472
373,374,ATL_int_01,452.3472,(pause 0.20),452.5445
374,375,ATL_int_01,452.5445,<laugh>,453.3646
375,376,ATL_se0_ag1_f_01,454.4563,Seventh grade you start having all the /ratchetness/.,457.2352
376,377,ATL_int_01,457.6712,"Okay, okay, okay, let's see, um.",460.3492
377,378,ATL_int_01,460.3492,(pause 1.71),462.0567
378,379,ATL_int_01,462.0567,How many students used to go?,463.5329
379,380,ATL_int_01,463.5329,(pause 1.35),464.887
380,381,ATL_int_01,464.887,How big were y'all classes and shit?,466.6329
381,382,ATL_se0_ag1_f_01,467.7899,"Well,",468.3482
382,383,ATL_se0_ag1_f_01,468.3482,(pause 0.32),468.6726
383,384,ATL_se0_ag1_f_01,468.6726,I always-,469.4541
384,385,ATL_se0_ag1_f_01,469.4541,(pause 0.57),470.0248
385,386,ATL_se0_ag1_f_01,470.0248,"Well when I got in high school, I took, um,",472.0469
386,387,ATL_se0_ag1_f_01,472.0469,(pause 0.18),472.2268
387,388,ATL_se0_ag1_f_01,472.2268,"AP classes. but throughout middle school,",474.9269
388,389,ATL_int_01,475.067,Mkay.,475.4603
389,390,ATL_se0_ag1_f_01,475.4851,it was like thirty and,476.825
390,391,ATL_se0_ag1_f_01,476.825,(pause 0.09),476.917
391,392,ATL_se0_ag1_f_01,476.917,forty kids in a classroom.,478.8099
392,393,ATL_int_01,478.8973,[/unintelligible/],479.7378
393,394,ATL_se0_ag1_f_01,479.1324,[It used to be] so hot.,480.9662
394,395,ATL_int_01,480.8649,[<laugh>],481.9193
395,396,ATL_se0_ag1_f_01,481.8201,"[But] in high school, I only had maybe like,",483.6189
