Word,File,WordStart,WordEnd,WordDur,CitePron,ActPron,S1,S1End,S1Dur,S2,S2End,S2Dur
came,s0201b.words,196.742794,196.958,0.215206,keym,keym,k,196.81799999999998,0.075206,ey,196.92298300000002,0.10498299999999999
took,s0201b.words,211.905,212.176704,0.271704,tuhk,tuhk,t,212.025,0.12,uh+1,212.139,0.114
come,s0202a.words,168.368,168.582,0.214,kahm,kahm,k,168.44212,0.07412,ah+1,168.50400000000002,0.06188
time,s0202a.words,214.671,215.169,0.498,taym,taam,t,214.793,0.122,aa,215.03546400000002,0.24246399999999999
town,s0202a.words,219.951,220.489,0.5379999999999999,tawn,tawn,t,220.049,0.098,aw+1,220.25900000000001,0.21
town,s0202a.words,221.575,221.795,0.22,tawn,tawn,t,221.675,0.099987,aw+1,221.765,0.09
town,s0202a.words,224.263,224.488,0.225,tawn,tawnx,t,224.358,0.095,aw+1,224.468,0.11
town,s0202a.words,225.929613,226.265,0.335387,tawn,tawn,t,225.995,0.065387,aw+1,226.21599999999998,0.221
care,s0202a.words,480.398,480.686,0.28800000000000003,kehr,kehr,k,480.556,0.158,eh,480.63599999999997,0.08
came,s0202a.words,481.272,481.506,0.23399999999999999,keym,keym,k,481.366,0.094,ey,481.467,0.10099999999999999
come,s0202b.words,22.566,22.794618,0.228618,kahm,kahm,k,22.686,0.12,ah,22.753,0.067
cost,s0202b.words,24.133642000000002,24.56,0.426358,kaast,kaost,k,24.336,0.20235799999999998,ao+1,24.451999999999998,0.11599999999999999
two,s0202b.words,26.636,26.854,0.218,tuw,tuw,t,26.805999999999997,0.17,uw+1,26.854,0.048
turn,s0202b.words,86.29799999999999,86.478,0.18,tern,tern,t,86.37799999999999,0.08,er,86.43700000000001,0.059000000000000004
car,s0202b.words,117.709,118.194,0.485,kaar,kaar,k,117.89399999999999,0.185,aa+1,118.111,0.217
car,s0202b.words,121.194,121.508,0.314,kaar,kaar,k,121.26799999999999,0.07400000000000001,aa+1,121.404,0.136
car,s0202b.words,121.75399999999999,122.064,0.31,kaar,kaar,k,121.838,0.084,aa+1,121.994,0.156
car,s0202b.words,124.03,124.221,0.191,kaar,kaar,k,124.11,0.08,aa,124.176,0.066
take,s0202b.words,124.295,124.48899999999999,0.19399999999999998,teyk,teyk,t,124.363,0.068,ey+1,124.45,0.087
taught,s0202b.words,156.98751000000001,157.319,0.33149,taat,taot,t,157.096,0.10849,ao+1,157.21200000000002,0.11599999999999999
put,s0202b.words,160.656,160.835,0.179,puht,puht,p,160.77,0.114,uh+1,160.80200000000002,0.032
take,s0202b.words,375.87,376.061,0.191,teyk,teyk,t,375.957,0.087,ey,376.017,0.06
care,s0202b.words,376.061,376.31800000000004,0.257,kehr,kehr,k,376.158,0.09699999999999999,eh,376.23,0.07200000000000001
call,s0203a.words,8.333082000000001,8.579001,0.245919,kaal,kaol,k,8.429976,0.096327,ao,8.535936,0.10595999999999998
teach,s0203a.words,42.985037,43.281388,0.29635100000000003,tiych,tiysh,t,43.0825,0.097463,iy,43.159562,0.077062
tell,s0203a.words,45.376244,45.570034,0.19379000000000002,tehl,tehl,t,45.451039,0.074795,eh,45.533203,0.082164
tell,s0203a.words,46.98,47.237077,0.257077,tehl,tehl,t,47.052355,0.07235499999999999,eh,47.209312,0.15695699999999999
tell,s0203a.words,50.294,50.533770000000004,0.23976999999999998,tehl,tehl,t,50.394375,0.100375,eh,50.491839,0.097464
turn,s0203a.words,52.538528,52.73139200000001,0.192864,tern,ternx,t,52.599725,0.061197,er,52.705118000000006,0.105393
taught,s0203a.words,54.329097999999995,54.577631000000004,0.248533,taat,taot,t,54.419196,0.090098,ao,54.54272099999999,0.123525
take,s0203a.words,76.515897,76.71308499999999,0.197188,teyk,teyg,t,76.598625,0.082728,ey,76.677387,0.078762
kind,s0203a.words,78.3008,78.45265699999999,0.151857,kaynd,kaanx,k,78.36143,0.060629999999999996,aa,78.436225,0.074795
kind,s0203a.words,78.3008,78.45265699999999,0.151857,kaynd,kaanx,k,78.36143,0.060629999999999996,aa,78.436225,0.074795
two,s0203a.words,107.74,107.93700000000001,0.19699999999999998,tuw,tuw,t,107.867773,0.127773,uw,107.93700000000001,0.069227
two,s0203a.words,108.65993200000001,108.82239399999999,0.162462,tuw,tuw,t,108.760796,0.100864,uw,108.82239399999999,0.061598
call,s0203a.words,109.748442,110.038,0.289558,kaal,kaol,k,109.86063600000001,0.112194,ao,109.99700000000001,0.136364
tell,s0203a.words,152.031,152.237885,0.20688499999999999,tehl,tehl,t,152.112093,0.081093,eh,152.17838899999998,0.06629600000000001
taught,s0203a.words,170.963324,171.163912,0.20058800000000002,taat,taotq,t,171.050586,0.087262,ao,171.13558,0.084994
teach,s0203a.words,218.949349,219.17940499999997,0.23005599999999998,tiych,tiych,t,219.026411,0.077062,iy,219.092707,0.06629600000000001
case,s0203b.words,219.113,219.60649300000003,0.493493,keys,keys,k,219.22,0.107,ey+1,219.33900000000003,0.11900000000000001
case,s0203b.words,220.238,220.65599999999998,0.418,keys,keys,k,220.324,0.086,ey,220.477,0.153
come,s0203b.words,236.37400000000002,236.584054,0.210054,kahm,kahm,k,236.47299999999998,0.099,ah,236.512,0.039
paid,s0203b.words,239.188,239.49900000000002,0.311,peyd,peyd,p,239.268,0.08,ey+1,239.46900000000002,0.201
take,s0203b.words,246.451,246.704,0.253,teyk,teyk,t,246.50099999999998,0.05,ey,246.597,0.096
put,s0203b.words,248.637,248.72400000000002,0.087,puht,pahdx,p,248.667,0.03,ah,248.707,0.04
take,s0203b.words,249.94400000000002,250.166,0.222,teyk,teyk,t,250.00400000000002,0.06,ey,250.104,0.1
paid,s0203b.words,257.091,257.432,0.341,peyd,peyd,p,257.181,0.09,ey+1,257.341,0.16
pay,s0203b.words,262.469,262.708833,0.239833,pey,pey,p,262.579,0.11,ey+1,262.708833,0.129833
time,s0203b.words,283.096,283.372,0.276,taym,taym,t,283.202,0.106,ay+1,283.329,0.127
time,s0203b.words,285.303,285.534,0.231,taym,taym,t,285.363,0.06,ay+1,285.493,0.13
put,s0203b.words,289.143,289.343,0.2,puht,puhdx,p,289.268,0.125,uh+1,289.313,0.045
teach,s0203b.words,291.28,291.77299999999997,0.493,tiych,tiych,t,291.493,0.213,iy,291.603,0.11
teach,s0203b.words,293.280839,293.617,0.336161,tiych,tiych,t,293.407,0.126161,iy,293.496,0.08900000000000001
tie,s0203b.words,293.89,294.176,0.28600000000000003,tay,tay,t,294.048,0.158,ay+1,294.176,0.128
take,s0203b.words,294.645,294.92,0.275,teyk,teyk,t,294.728,0.083,ey,294.83099999999996,0.10300000000000001
teach,s0203b.words,295.548,295.798,0.25,tiych,tiych,t,295.658,0.11,iy,295.71299999999997,0.055
tell,s0203b.words,300.143,300.351,0.20800000000000002,tehl,tehl,t,300.263,0.12,eh+1,300.303,0.04
kid,s0203b.words,306.494065,306.722414,0.22834899999999997,kihd,kihd,k,306.591,0.09693500000000001,ih+1,306.687,0.096
teach,s0203b.words,307.403,307.65679700000004,0.253797,tiych,tiych,t,307.52099999999996,0.11800000000000001,iy,307.573,0.052000000000000005
put,s0203b.words,308.57,308.775,0.205,puht,puht,p,308.68,0.11,uh+1,308.72700000000003,0.047
put,s0203b.words,310.397,310.559,0.162,puht,puhdx,p,310.518,0.121,uh,310.54400000000004,0.026000000000000002
kid,s0203b.words,311.28700000000003,311.498,0.21100000000000002,kihd,kihd,k,311.403,0.11599999999999999,ih+1,311.45799999999997,0.055
put,s0203b.words,316.555,316.764,0.209,puht,puh,p,316.73400000000004,0.179,uh,316.764,0.03
take,s0203b.words,317.899,318.084,0.185,teyk,teyg,t,317.97900000000004,0.08,ey,318.053,0.07400000000000001
kid,s0203b.words,318.83299999999997,318.993,0.16,kihd,kihd,k,318.911,0.078,ih+1,318.942,0.031
took,s0203b.words,319.252,319.476,0.22399999999999998,tuhk,tuhk,t,319.35400000000004,0.102,uh,319.442,0.08800000000000001
kid,s0204a.words,10.317,10.59,0.273,kihd,kihd,k,10.465,0.14800000000000002,ih+1,10.53,0.065
talk,s0204a.words,22.829,23.116999999999997,0.28800000000000003,taak,taok,t,22.918000000000003,0.08900000000000001,ao+1,23.039,0.121
two,s0204a.words,54.141999999999996,54.315,0.17300000000000001,tuw,tuw,t,54.255,0.113,uw+1,54.315,0.06
took,s0204a.words,76.93,77.148,0.218,tuhk,tuhk,t,77.013733,0.083733,uh+1,77.075,0.061266999999999995
come,s0204a.words,81.470895,81.723,0.252105,kahm,kahm,k,81.567,0.096105,ah,81.64,0.073
pass,s0204a.words,103.565,103.905,0.34,paes,paes,p,103.679,0.114,ae,103.815,0.136
come,s0204a.words,125.64200000000001,125.815072,0.173072,kahm,kahm,k,125.69200000000001,0.05,ah,125.75299999999999,0.061
take,s0204a.words,130.149,130.38,0.231,teyk,teyk,t,130.25,0.10099999999999999,ey,130.341,0.091
two,s0204a.words,147.997,148.16876399999998,0.171764,tuw,tuw,t,148.101,0.10400000000000001,uw+1,148.16876399999998,0.067764
ten,s0204a.words,150.792,151.232629,0.440629,tehn,tehn,t,151.02100000000002,0.22899999999999998,eh+1,151.121621,0.100621
time,s0204a.words,182.609,182.863,0.254,taym,taym,t,182.649,0.04,ay+1,182.804,0.155
time,s0204b.words,8.715,9.154,0.439,taym,taym,t,8.791,0.076,ay,9.044,0.253
tell,s0204b.words,9.154,9.353,0.19899999999999998,tehl,tehl,t,9.27,0.11599999999999999,eh,9.305,0.035
cause,s0204b.words,11.212,11.482000000000001,0.27,kaaz,kaoz,k,11.31236,0.10036,ao,11.452,0.13964000000000001
take,s0204b.words,36.679,36.905,0.226,teyk,teyk,t,36.763000000000005,0.084,ey,36.878,0.115
take,s0204b.words,61.924,62.152,0.228,teyk,teyk,t,62.042,0.11800000000000001,ey,62.111000000000004,0.069
take,s0204b.words,79.795,80.007975,0.212975,teyk,teyk,t,79.893,0.098,ey,79.983,0.09
care,s0204b.words,80.007975,80.193,0.185025,kehr,kehr,k,80.079,0.071025,eh,80.143,0.064
keep,s0204b.words,355.62199999999996,355.931,0.309,kiyp,kiyp,k,355.75199999999995,0.13,iy,355.811,0.059000000000000004
teach,s0204b.words,369.51,369.868529,0.358529,tiych,tiych,t,369.67,0.16,iy,369.777,0.107
keep,s0204b.words,370.463744,370.7,0.236256,kiyp,kiyp,k,370.556,0.09225599999999999,iy,370.603,0.047
kept,s0204b.words,413.87300000000005,414.10699999999997,0.23399999999999999,kehpt,kehp,k,413.966,0.09300000000000001,eh,414.02,0.054000000000000006
come,s0204b.words,417.211123,417.31800000000004,0.106877,kahm,kahm,k,417.267,0.055876999999999996,ah,417.295,0.027999999999999997
part,s0204b.words,432.14300000000003,432.353,0.21,paart,paar,p,432.24800000000005,0.105,aa,432.298,0.05
pick,s0204b.words,434.17800000000005,434.291,0.113,pihk,pihk,p,434.214,0.036000000000000004,ih,434.26300000000003,0.049
taught,s0204b.words,438.26099999999997,438.647,0.386,taat,taot,t,438.418,0.157,ao,438.591,0.17300000000000001
count,s0204b.words,440.469,440.917,0.44799999999999995,kawnt,kawnt,k,440.59,0.121,aw,440.778,0.188
keep,s0204b.words,448.00199999999995,448.272,0.27,kiyp,kiyp,k,448.11400000000003,0.11199999999999999,iy,448.204,0.09
point,s0204b.words,460.20300000000003,460.476,0.273,poynt,poyn,p,460.336,0.133,oy,460.445,0.109
taught,s0205a.words,169.093,169.579952,0.48695200000000005,taat,taotq,t,169.34718700000002,0.254625,ao,169.528955,0.181768
kind,s0205a.words,173.35,173.56400000000002,0.214,kaynd,kaynx,k,173.44226799999998,0.09185499999999999,ay,173.546601,0.104333
kind,s0205a.words,173.35,173.56400000000002,0.214,kaynd,kaynx,k,173.44226799999998,0.09185499999999999,ay,173.546601,0.104333
told,s0205a.words,174.74099999999999,175.011,0.27,towld,towl,t,174.850771,0.11020899999999999,ow,174.94149299999998,0.090722
time,s0205a.words,200.535338,200.836467,0.301129,taym,taym,t,200.621195,0.086007,ay,200.767583,0.14638800000000002
told,s0205a.words,210.352,210.602,0.25,towld,towl,t,210.462062,0.11,ow,210.562062,0.1
taught,s0205a.words,220.218,220.54022799999998,0.322228,taat,taotq,t,220.370317,0.15241500000000002,ao,220.467132,0.096815
catch,s0205a.words,227.959,228.23458399999998,0.275584,kaech,kehsh,k,228.0748,0.11619700000000001,eh,228.14572599999997,0.070926
pie,s0205a.words,243.537,243.907,0.37,pay,pay,p,243.633554,0.096554,ay,243.907,0.273446
pie,s0205a.words,244.855,245.168,0.313,pay,pay,p,244.96030699999997,0.10555899999999999,ay,245.168337,0.20803000000000002
pie,s0205a.words,246.303,246.592,0.289,pay,pay,p,246.43099999999998,0.128407,ay,246.591329,0.160329
pie,s0205a.words,246.976,247.21200000000002,0.23600000000000002,pay,pay,p,247.064285,0.087966,ay,247.21227599999997,0.147991
put,s0205a.words,249.157,249.351,0.19399999999999998,puht,puht,p,249.261,0.104124,uh,249.317285,0.056285
catch,s0205a.words,250.87400000000002,251.201,0.327,kaech,kehch,k,251.0137,0.13967100000000002,eh,251.08305499999997,0.069355
two,s0205a.words,258.70599999999996,258.95099999999996,0.245,tuw,tuw,t,258.861125,0.15551099999999998,uw,258.951125,0.09
took,s0205a.words,263.187,263.346,0.159,tuhk,tuhg,t,263.2555,0.068326,uh,263.3255,0.07
take,s0205a.words,264.233,264.423,0.19,teyk,teyg,t,264.31163399999997,0.078322,ey,264.39331200000004,0.081678
put,s0205a.words,272.855485,273.077038,0.22155300000000003,puht,puht,p,272.974437,0.1187,uh,273.045309,0.070872
caught,s0205a.words,277.678,277.966,0.28800000000000003,kaat,kaotq,k,277.80863999999997,0.130743,ao,277.903427,0.094787
tell,s0205a.words,282.89599999999996,283.131,0.235,tehl,tehl,t,283.036125,0.14,eh,283.096125,0.0599999999999
tongue,s0205a.words,283.883,284.121354,0.23835399999999998,tahng,tahng,t,283.977392,0.094786,ah,284.07763,0.100238
tongue,s0205a.words,285.786,286.249,0.46299999999999997,tahng,tahng,t,285.90634700000004,0.120407,ah,286.106125,0.199778
teeth,s0205a.words,288.541,288.721,0.18,tiyth,tiyth,t,288.599915,0.058664999999999995,iy,288.69125,0.091335
two,s0205a.words,289.556,289.786,0.23,tuw,tuw,t,289.674413,0.11841900000000001,uw,289.785353,0.11094000000000001
teeth,s0205a.words,290.753,290.976,0.223,tiyth,tiyth,t,290.817471,0.064818,iy,290.90125,0.08377899999999999
kid,s0205a.words,291.153,291.35843,0.20543000000000003,kihd,kihd,k,291.233808,0.081024,ih,291.289901,0.056093
tongue,s0205a.words,297.736,298.071373,0.335373,tahng,tahng,t,297.87125,0.135068,ah,297.98125,0.11
cake,s0205a.words,299.861,300.132,0.271,keyk,keyk,k,299.96212599999996,0.101612,ey,300.057941,0.095815
tongue,s0205a.words,301.247,301.459,0.212,tahng,tahng,t,301.331047,0.083583,ah,301.404429,0.073382
teeth,s0205a.words,303.543,303.834,0.29100000000000004,tiyth,tiyth,t,303.67125,0.127986,iy,303.78125,0.11
took,s0205a.words,304.01099999999997,304.171,0.16,tuhk,tuhk,t,304.08125,0.07,uh,304.125673,0.044423000000000004
two,s0205a.words,305.148186,305.411,0.262814,tuw,tuw,t,305.279487,0.131301,uw,305.41125,0.13176300000000002
taste,s0205a.words,306.288,306.60400000000004,0.316,teyst,teyst,t,306.40125,0.113594,ey,306.515264,0.114014
teeth,s0205a.words,306.952,307.39099999999996,0.439,tiyth,tiyth,t,307.10125,0.15,iy,307.307877,0.206627
