ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,SUFF1_PFMF,SUFF1_FamSize,SUFF1_Freq_HAL,SUFF1_length,SUFF1_P,SUFF1_P*
168,ambassadress,NN,2,"0,1,1",{(ambassad)>ress>},100,4,6303,0,2,0,4,0,0
169,ambassadresses,NN,2,"0,1,1",{(ambassad)>ress>},100,4,6303,0,2,0,4,0,0
178,AMBLER,NN,2,"0,1,1",{(amble)}>er>,33.33333333,13,3144,45.31456225,2274,4569119,2,3.55E-05,0.025027035
180,ambulant,JJ,2,"0,1,1",{(amble)>ant>},75,13,3144,87.25701944,464,1534593,3,7.82E-06,0.001853854
206,AMETHYSTINE,JJ,2,"0,1,1",{(amethyst)}>ine>,100,2,556,96.55172414,30,18081,3,0.000110613,0.000308976
210,amiability,NN,2,"0,1,1",{(amiable)}>ity>,100,3,361,82.03799655,580,1647588,3,1.76E-05,0.004480148
211,amiably,RB,2,"0,1,1",{(amiable)}>y>,50,3,361,39.55734406,2486,3870233,1,4.99E-05,0.029816159
212,amicability,NN,2,"0,1,1",{(amicable)}>ity>,100,3,269,86.70120898,580,1647588,3,1.76E-05,0.004480148
229,amorously,RB,2,"0,1,1",{(amorous)}>ly>,50,3,286,62.37487056,2898,3857999,2,4.48E-05,0.026726402
230,amorousness,NN,2,"0,1,1",{(amorous)}>ness>,100,3,286,81.80354267,1243,181553,4,0.000583852,0.016375715
238,amperage,NN,2,"0,1,1",{(ampere)}>age>,0,2,246,66.66666667,82,257400,3,1.94E-05,0.000772439
241,amphibians,NN,2,"0,1,1",{(amphibio)>ian>},0,3,1020,27.16763006,174,394113,3,2.79E-05,0.001699367
248,ampler,JJ,2,"0,1,1",{(ample)}>er>,85.71428571,8,11343,81.91816982,2274,4569119,2,3.55E-05,0.025027035
249,amplest,JJ,2,"0,1,1",{(ample)}>est>,100,8,11343,69.98597475,714,287086,3,0.000261246,0.01158659
250,amplifies,VB,2,"0,1,1",{(ample)>ify>},28.57142857,8,11343,19.73684211,153,351545,3,3.98E-05,0.00216283
254,amputates,VB,2,"0,1,1",{(amput)>ate>},0,3,1039,44.23076923,937,2569118,3,2.65E-05,0.010505175
255,amputating,VB|NN|JJ,2,"0,1,1",{(amput)>ate>},0,3,1039,44.23076923,937,2569118,3,2.65E-05,0.010505175
257,amputees,NN,2,"0,1,1",{(amput)>ee>},50,3,1039,36.17021277,48,130049,2,1.54E-05,0.000308976
268,anaemically,RB,2,"0,1,1",{(anaemic)}>ly>,100,2,6,86.8829824,2898,3857999,2,4.48E-05,0.026726402
282,analogize,VB,2,"0,1,1",{(analog)>ize>},100,5,11372,61.77156177,430,443161,3,0.00014893,0.0101962
283,analogized,VB,2,"0,1,1",{(analog)>ize>},100,5,11372,61.77156177,430,443161,3,0.00014893,0.0101962
284,analogizes,VB,2,"0,1,1",{(analog)>ize>},100,5,11372,61.77156177,430,443161,3,0.00014893,0.0101962
285,analogizing,VB|NN|JJ,2,"0,1,1",{(analog)>ize>},100,5,11372,61.77156177,430,443161,3,0.00014893,0.0101962
313,anatomies,NN,2,"0,1,1",{(anatom)>y>},0,5,3160,7.203219316,2486,3870233,1,4.99E-05,0.029816159
314,anatomist,NN,2,"0,1,1",{(anatom)>ist>},75,5,3160,55.96529284,462,382916,3,6.27E-05,0.003707709
315,anatomists,NN,2,"0,1,1",{(anatom)>ist>},75,5,3160,55.96529284,462,382916,3,6.27E-05,0.003707709
319,ancestries,NN,2,"0,1,1",{(ancestor)>y>},100,3,13480,7.6861167,2486,3870233,1,4.99E-05,0.029816159
320,anchorages,NN,2,"0,1,1",{(anchor)}>age>,33.33333333,4,5925,24.69135802,82,257400,3,1.94E-05,0.000772439
338,Andorran,JJ|NN,2,"0,1,1",{(andorra)}>n>,100,2,202,89.26174497,150,714837,1,1.12E-05,0.001235903
339,Andorrans,NN,2,"0,1,1",{(andorra)}>n>,100,2,202,89.26174497,150,714837,1,1.12E-05,0.001235903
380,abatement,NN,2,"0,1,1",{(abate)}>ment>,100,3,851,56.09756098,288,1423689,4,1.26E-05,0.002780782
402,Zimbabwean,JJ|NN,2,"0,1,1",{(zimbabwe)}>ian>,100,2,1661,70.52023121,174,394113,3,2.79E-05,0.001699367
403,Zimbabweans,NN,2,"0,1,1",{(zimbabwe)}>ian>,100,2,1661,70.52023121,174,394113,3,2.79E-05,0.001699367
408,Zionism,NN,2,"0,1,1",{(zion)}>ism>,100,3,2833,14.81481481,271,218200,3,5.50E-05,0.001853854
409,Zionist,JJ,2,"0,1,1",{(zion)}>ist>,0,3,2833,13.88286334,462,382916,3,6.27E-05,0.003707709
410,Zionists,NN,2,"0,1,1",{(zion)}>ist>,0,3,2833,13.88286334,462,382916,3,6.27E-05,0.003707709
411,zippers,NN|VB,2,"0,1,1",{(zip)}>er>,40,6,25466,14.91421029,2274,4569119,2,3.55E-05,0.025027035
426,zonal,JJ,2,"0,1,1",{(zone)}>al>,50,3,21772,64.96503497,1431,4704731,2,9.14E-06,0.006642979
451,wolfish,JJ,2,"0,1,1",{(wolf)}>ish>,66.66666667,4,32798,31.87250996,252,161977,3,0.000111127,0.002780782
461,womanized,VB,2,"0,1,1",{(woman)}>ize>,16.21621622,38,74275,45.68764569,430,443161,3,0.00014893,0.0101962
463,womanizes,VB,2,"0,1,1",{(woman)}>ize>,16.21621622,38,74275,45.68764569,430,443161,3,0.00014893,0.0101962
464,womanizing,VB|NN|JJ,2,"0,1,1",{(woman)}>ize>,16.21621622,38,74275,45.68764569,430,443161,3,0.00014893,0.0101962
470,wonderment,NN,2,"0,1,1",{(wonder)}>ment>,62.5,9,143680,58.18815331,288,1423689,4,1.26E-05,0.002780782
472,wonkier,JJ,2,"0,1,1",{(wonky)}>er>,100,2,183,87.1975363,2274,4569119,2,3.55E-05,0.025027035
503,wooer,NN,2,"0,1,1",{(woo)}>er>,100,2,2195,66.38803344,2274,4569119,2,3.55E-05,0.025027035
504,wooers,NN,2,"0,1,1",{(woo)}>er>,100,2,2195,66.38803344,2274,4569119,2,3.55E-05,0.025027035
505,woofer,NN,2,"0,1,1",{(woof)}>er>,100,2,1765,20.58952926,2274,4569119,2,3.55E-05,0.025027035
506,woofers,NN,2,"0,1,1",{(woof)}>er>,100,2,1765,20.58952926,2274,4569119,2,3.55E-05,0.025027035
513,woollens,NN,2,"0,1,1",{(wool)}>en>,25,9,2761,58.62068966,204,655590,2,1.68E-05,0.001699367
515,woollies,NN,2,"0,1,1",{(wool)}>y>,12.5,9,2761,18.06841046,2486,3870233,1,4.99E-05,0.029816159
524,woozier,JJ,2,"0,1,1",{(woozy)}>er>,100,2,72,81.91816982,2274,4569119,2,3.55E-05,0.025027035
554,WORLDERS,NN,2,"0,1,1",{(world)}>er>,66.66666667,10,345235,53.18961725,2274,4569119,2,3.55E-05,0.025027035
562,worryingly,RB,2,"0,1,1",{(worry)}>ly>,100,3,43917,38.41905419,2898,3857999,2,4.48E-05,0.026726402
563,worsening,VB|NN,2,"0,1,1",{(worse)}>en>,100,2,35938,30.04926108,204,655590,2,1.68E-05,0.001699367
564,worshipper,NN,2,"0,1,1",{(worship)}>er>,50,3,13348,19.92960845,2274,4569119,2,3.55E-05,0.025027035
569,worthies,NN,2,"0,1,1",{(worth)}>y>,3.448275862,30,103812,3.098591549,2486,3870233,1,4.99E-05,0.029816159
576,wouldst,VB,2,"0,1,1",{(would)}>est>,100,3,1366583,23.42215989,714,287086,3,0.000261246,0.01158659
584,wranglers,NN,2,"0,1,1",{(wrangle)}>er>,0,2,1174,19.70963484,2274,4569119,2,3.55E-05,0.025027035
596,wreckers,NN,2,"0,1,1",{(wreck)}>er>,75,5,4801,43.02683678,2274,4569119,2,3.55E-05,0.025027035
602,wrestlers,NN,2,"0,1,1",{(wrestle)}>er>,100,2,9197,11.52661681,2274,4569119,2,3.55E-05,0.025027035
604,wretchedly,RB,2,"0,1,1",{(wretch)}>ly>,100,3,3907,52.84777356,2898,3857999,2,4.48E-05,0.026726402
609,wriggler,NN,2,"0,1,1",{(wriggle)}>er>,100,2,679,61.98856137,2274,4569119,2,3.55E-05,0.025027035
610,wrigglers,NN,2,"0,1,1",{(wriggle)}>er>,100,2,679,61.98856137,2274,4569119,2,3.55E-05,0.025027035
615,wringers,NN,2,"0,1,1",{(wring)}>er>,100,2,506,47.60228773,2274,4569119,2,3.55E-05,0.025027035
623,wristlet,NN,2,"0,1,1",{(wrist)}>let>,100,4,6831,84.61538462,14,9586,3,0.000104319,0.000154488
624,wristlets,NN,2,"0,1,1",{(wrist)}>let>,100,4,6831,84.61538462,14,9586,3,0.000104319,0.000154488
698,yardages,NN,2,"0,1,1",{(yard)}>age>,36.84210526,20,22835,58.02469136,82,257400,3,1.94E-05,0.000772439
718,yearlings,NN,2,"0,1,1",{(year)>ling>},83.33333333,7,608132,53.33333333,16,4289,4,0.000466309,0.000308976
728,yellower,JJ,2,"0,1,1",{(yellow)}>er>,50,5,20459,68.0158381,2274,4569119,2,3.55E-05,0.025027035
729,yellowest,JJ,2,"0,1,1",{(yellow)}>est>,75,5,20459,43.47826087,714,287086,3,0.000261246,0.01158659
730,yellowness,NN,2,"0,1,1",{(yellow)}>ness>,100,5,20459,73.34943639,1243,181553,4,0.000583852,0.016375715
733,Yemeni,JJ|NN,2,"0,1,1",{(yemen)}>i>,100,2,795,50,31,21164,1,4.73E-05,0.000154488
734,Yemenis,NN,2,"0,1,1",{(yemen)}>i>,100,2,795,50,31,21164,1,4.73E-05,0.000154488
750,yieldingly,RB,2,"0,1,1",{(yield)}>ly>,100,3,10881,86.8829824,2898,3857999,2,4.48E-05,0.026726402
757,yodeller,NN,2,"0,1,1",{(yodel)}>er>,100,2,226,81.91816982,2274,4569119,2,3.55E-05,0.025027035
758,yodellers,NN,2,"0,1,1",{(yodel)}>er>,100,2,226,81.91816982,2274,4569119,2,3.55E-05,0.025027035
780,yorker,NN,2,"0,1,1",{(york)}>er>,100,2,81890,14.69423669,2274,4569119,2,3.55E-05,0.025027035
781,yorkers,NN,2,"0,1,1",{(york)}>er>,100,2,81890,14.69423669,2274,4569119,2,3.55E-05,0.025027035
812,Zairean,JJ|NN,2,"0,1,1",{(zaire)}>ian>,100,2,572,85.54913295,174,394113,3,2.79E-05,0.001699367
813,Zaireans,NN,2,"0,1,1",{(zaire)}>ian>,100,2,572,85.54913295,174,394113,3,2.79E-05,0.001699367
814,Zambian,JJ|NN,2,"0,1,1",{(zambia)}>n>,100,2,314,80.53691275,150,714837,1,1.12E-05,0.001235903
815,Zambians,NN,2,"0,1,1",{(zambia)}>n>,100,2,314,80.53691275,150,714837,1,1.12E-05,0.001235903
817,zanier,JJ,2,"0,1,1",{(zany)}>er>,100,3,300,73.11922569,2274,4569119,2,3.55E-05,0.025027035
819,zaniest,JJ,2,"0,1,1",{(zany)}>est>,50,3,300,40.67321178,714,287086,3,0.000261246,0.01158659
828,zealots,NN,2,"0,1,1",{(zeal)>ot>},0,6,3419,14.28571429,8,7815,2,0,0
847,zenithal,JJ,2,"0,1,1",{(zenith)}>al>,100,2,2159,91.53846154,1431,4704731,2,9.14E-06,0.006642979
856,Wesleyans,NN,2,"0,1,1",{(wesley)}>ian>,100,2,4805,34.10404624,174,394113,3,2.79E-05,0.001699367
863,westerns,NN,2,"0,1,1",{(west)}>ern>,4.761904762,22,126506,0,21,123023,3,2.44E-05,0.000463464
874,wettest,JJ,2,"0,1,1",{(wet)}>est>,100,6,19361,22.58064516,714,287086,3,0.000261246,0.01158659
878,whackers,NN,2,"0,1,1",{(whack)}>er>,25,5,2859,51.64980202,2274,4569119,2,3.55E-05,0.025027035
884,whalers,NN,2,"0,1,1",{(whale)}>er>,50,3,6692,20.8974923,2274,4569119,2,3.55E-05,0.025027035
898,wheaten,JJ,2,"0,1,1",{(wheat)}>en>,50,3,4745,44.33497537,204,655590,2,1.68E-05,0.001699367
909,WHEELER,NN,2,"0,1,1",{(wheel)}>er>,8.333333333,13,38202,10.95468544,2274,4569119,2,3.55E-05,0.025027035
938,whiffy,JJ,2,"0,1,1",{(whiff)}>y>,33.33333333,4,435,81.08651911,2486,3870233,1,4.99E-05,0.029816159
942,whimsies,NN,2,"0,1,1",{(whim)>y>},50,5,2943,26.63983903,2486,3870233,1,4.99E-05,0.029816159
944,whiner,NN,2,"0,1,1",{(whine)}>er>,100,2,11563,15.70611527,2274,4569119,2,3.55E-05,0.025027035
947,whiners,NN,2,"0,1,1",{(whine)}>er>,100,2,11563,15.70611527,2274,4569119,2,3.55E-05,0.025027035
973,whisperers,NN,2,"0,1,1",{(whisper)}>er>,100,2,6775,57.41311043,2274,4569119,2,3.55E-05,0.025027035
985,whiter,JJ,2,"0,1,1",{(white)}>er>,38.88888889,19,162243,38.97932248,2274,4569119,2,3.55E-05,0.025027035
986,whitest,JJ,2,"0,1,1",{(white)}>est>,61.11111111,19,162243,22.1598878,714,287086,3,0.000261246,0.01158659
993,WHITEY,JJ|NN,2,"0,1,1",{(white)}>y>,22.22222222,19,162243,22.85714286,2486,3870233,1,4.99E-05,0.029816159
1003,whittler,NN,2,"0,1,1",{(whittle)}>er>,100,2,633,65.37615486,2274,4569119,2,3.55E-05,0.025027035
1004,whittlers,NN,2,"0,1,1",{(whittle)}>er>,100,2,633,65.37615486,2274,4569119,2,3.55E-05,0.025027035
1028,wickeder,JJ,2,"0,1,1",{(wicked)}>er>,100,5,4933,76.46282446,2274,4569119,2,3.55E-05,0.025027035
1029,wickedest,JJ,2,"0,1,1",{(wicked)}>est>,75,5,4933,32.25806452,714,287086,3,0.000261246,0.01158659
1034,widening,VB|NN,2,"0,1,1",{(wide)}>en>,50,13,118804,20.68965517,204,655590,2,1.68E-05,0.001699367
1038,widowers,NN,2,"0,1,1",{(widow)}>er>,50,3,2925,36.91157061,2274,4569119,2,3.55E-05,0.025027035
1040,WIDTHWISE,RB,2,"0,1,1",{(width)}>wise>,100,3,22369,61.11111111,19,77424,4,2.58E-05,0.000308976
1043,wielders,NN,2,"0,1,1",{(wield)}>er>,33.33333333,4,2502,27.10074791,2274,4569119,2,3.55E-05,0.025027035
1051,wiggler,NN,2,"0,1,1",{(wiggle)}>er>,100,2,2236,47.38231412,2274,4569119,2,3.55E-05,0.025027035
1052,wigglers,NN,2,"0,1,1",{(wiggle)}>er>,100,2,2236,47.38231412,2274,4569119,2,3.55E-05,0.025027035
1067,wildernesses,NN,2,"0,1,1",{(wild)>ness>},18.18181818,12,42951,0.966183575,1243,181553,4,0.000583852,0.016375715
1072,wilful,JJ,2,"0,1,1",{(wile)}>ful>,42.85714286,8,1344,44.15204678,343,429561,3,5.82E-05,0.003862197
1105,Wimpy,JJ,2,"0,1,1",{(wimp)}>y>,0,1,1085,10.86519115,2486,3870233,1,4.99E-05,0.029816159
1144,wingers,NN,2,"0,1,1",{(wing)}>er>,11.11111111,10,26792,17.99384074,2274,4569119,2,3.55E-05,0.025027035
1147,winkers,NN,2,"0,1,1",{(wink)}>er>,100,4,2506,81.91816982,2274,4569119,2,3.55E-05,0.025027035
1158,WINOS,NN,2,"0,1,1",{(wine)}>o>,20,6,14980,81.81818182,12,16972,1,0,0
1163,winsomeness,NN,2,"0,1,1",{(winsome)}>ness>,100,2,91,67.79388084,1243,181553,4,0.000583852,0.016375715
1167,WINTHROP,NN,2,"0,1,1",{(win)>throp>},54.54545455,12,120882,0,1,500,5,0,0
1170,wipers,NN,2,"0,1,1",{(wipe)}>er>,100,2,10271,21.55741311,2274,4569119,2,3.55E-05,0.025027035
1172,wirelesses,NN,2,"0,1,1",{(wire)}>less>,8.333333333,13,37645,0.544959128,368,158354,4,0.000119984,0.00293527
1199,witchery,NN,2,"0,1,1",{(witch)}>ory>,60,6,13636,76.90140845,356,725186,3,2.62E-05,0.00293527
1204,witheringly,RB,2,"0,1,1",{(wither)}>ly>,100,2,3366,64.10079392,2898,3857999,2,4.48E-05,0.026726402
1216,WITTER,NN,2,"0,1,1",{(wit)}>er>,29.41176471,18,10063,33.65596128,2274,4569119,2,3.55E-05,0.025027035
1217,witticism,NN,2,"0,1,1",{(wit)}>ism>,47.05882353,18,10063,45.18518519,271,218200,3,5.50E-05,0.001853854
1218,witticisms,NN,2,"0,1,1",{(wit)}>ism>,47.05882353,18,10063,45.18518519,271,218200,3,5.50E-05,0.001853854
1230,wobbler,NN,2,"0,1,1",{(wobble)}>er>,50,5,1280,56.9291685,2274,4569119,2,3.55E-05,0.025027035
1231,wobblers,NN,2,"0,1,1",{(wobble)}>er>,50,5,1280,56.9291685,2274,4569119,2,3.55E-05,0.025027035
1243,woken,VB,2,"0,1,1",{(woke)}>en>,66.66666667,4,4827,41.37931034,204,655590,2,1.68E-05,0.001699367
1256,vivifies,VB,2,"0,1,1",{(vive)>ify>},84.61538462,27,48706,91.44736842,153,351545,3,3.98E-05,0.00216283
1257,vivifying,VB|NN|JJ,2,"0,1,1",{(vive)>ify>},84.61538462,27,48706,91.44736842,153,351545,3,3.98E-05,0.00216283
1267,vixenish,JJ,2,"0,1,1",{(vixen)}>ish>,100,2,532,69.72111554,252,161977,3,0.000111127,0.002780782
1280,vocative,JJ|NN,2,"0,1,1",{(voc)>ive>},77.27272727,23,38814,74.43868739,580,1037354,3,1.74E-05,0.002780782
1281,vocatives,NN,2,"0,1,1",{(voc)>ive>},77.27272727,23,38814,74.43868739,580,1037354,3,1.74E-05,0.002780782
1297,volatilities,NN,2,"0,1,1",{(volatile)}>ity>,50,3,2110,30.22452504,580,1647588,3,1.76E-05,0.004480148
1298,volcanoes,NN,2,"0,1,1",{(volcan)>o>},100,2,10600,0,12,16972,1,0,0
1316,volubility,NN,2,"0,1,1",{(voluble)}>ity>,100,2,25,87.73747841,580,1647588,3,1.76E-05,0.004480148
1320,voluntaries,NN,2,"0,1,1",{(volunt)>ory>},25,5,24828,10.42253521,356,725186,3,2.62E-05,0.00293527
1323,voluptuously,RB,2,"0,1,1",{(voluptuous)}>ly>,100,3,259,73.86952019,2898,3857999,2,4.48E-05,0.026726402
1324,voluptuousness,NN,2,"0,1,1",{(voluptuous)}>ness>,50,3,259,55.87761675,1243,181553,4,0.000583852,0.016375715
1334,voodooism,NN,2,"0,1,1",{(voodoo)}>ism>,100,2,3329,91.48148148,271,218200,3,5.50E-05,0.001853854
1337,voracity,NN,2,"0,1,1",{(vorac)>ity>},50,3,463,58.72193437,580,1647588,3,1.76E-05,0.004480148
1343,voteless,JJ,2,"0,1,1",{(vote)}>less>,100,4,110795,77.38419619,368,158354,4,0.000119984,0.00293527
1353,voyagers,NN,2,"0,1,1",{(voyage)}>er>,0,2,12476,4.003519578,2274,4569119,2,3.55E-05,0.025027035
1367,vulcanize,VB,2,"0,1,1",{(vulcan)}>ize>,50,3,3978,53.84615385,430,443161,3,0.00014893,0.0101962
1368,vulcanizes,VB,2,"0,1,1",{(vulcan)}>ize>,50,3,3978,53.84615385,430,443161,3,0.00014893,0.0101962
1369,vulcanizing,VB|NN|JJ,2,"0,1,1",{(vulcan)}>ize>,50,3,3978,53.84615385,430,443161,3,0.00014893,0.0101962
1370,vulgarian,NN|JJ,2,"0,1,1",{(vulgar)}>ian>,33.33333333,7,1614,73.98843931,174,394113,3,2.79E-05,0.001699367
1371,vulgarians,NN,2,"0,1,1",{(vulgar)}>ian>,33.33333333,7,1614,73.98843931,174,394113,3,2.79E-05,0.001699367
1377,warders,NN,2,"0,1,1",{(ward)}>er>,33.33333333,10,27534,29.16849978,2274,4569119,2,3.55E-05,0.025027035
1388,washers,NN,2,"0,1,1",{(wash)}>er>,8.695652174,24,24337,15.31016278,2274,4569119,2,3.55E-05,0.025027035
1400,weirdies,NN,2,"0,1,1",{(weird)}>y>,100,7,18553,57.90744467,2486,3870233,1,4.99E-05,0.029816159
1403,welsher,NN|JJ,2,"0,1,1",{(welsh)}>er>,66.66666667,4,3434,59.56885174,2274,4569119,2,3.55E-05,0.025027035
1411,whippy,NN|JJ,2,"0,1,1",{(whip)}>y>,50,7,10471,37.86720322,2486,3870233,1,4.99E-05,0.029816159
1438,washy,JJ,2,"0,1,1",{(wash)}>y>,56.52173913,24,24337,37.86720322,2486,3870233,1,4.99E-05,0.029816159
1439,waspish,JJ,2,"0,1,1",{(wasp)}>ish>,33.33333333,4,1122,46.21513944,252,161977,3,0.000111127,0.002780782
1450,waster,NN,2,"0,1,1",{(waste)}>er>,75,9,45847,41.22305323,2274,4569119,2,3.55E-05,0.025027035
1451,wasters,NN,2,"0,1,1",{(waste)}>er>,75,9,45847,41.22305323,2274,4569119,2,3.55E-05,0.025027035
1456,watcher,NN,2,"0,1,1",{(watch)}>er>,5.882352941,18,112901,10.07479103,2274,4569119,2,3.55E-05,0.025027035
1492,wattages,NN,2,"0,1,1",{(watt)}>age>,33.33333333,4,9200,39.50617284,82,257400,3,1.94E-05,0.000772439
1499,waverer,NN,2,"0,1,1",{(waver)}>er>,66.66666667,4,612,81.91816982,2274,4569119,2,3.55E-05,0.025027035
1500,waverers,NN,2,"0,1,1",{(waver)}>er>,66.66666667,4,612,81.91816982,2274,4569119,2,3.55E-05,0.025027035
1501,waveringly,RB,2,"0,1,1",{(waver)}>ly>,100,4,612,86.8829824,2898,3857999,2,4.48E-05,0.026726402
1519,weaklings,NN,2,"0,1,1",{(weak)}>ling>,85.71428571,8,33410,40,16,4289,4,0.000466309,0.000308976
1526,weaponless,JJ,2,"0,1,1",{(weapon)}>less>,100,3,51513,43.05177112,368,158354,4,0.000119984,0.00293527
1527,wearable,JJ,2,"0,1,1",{(weare)}>able>,100,3,19603,47.64638347,872,1227992,4,3.18E-05,0.006025027
1528,wearer,NN,2,"0,1,1",{(weare)}>er>,50,3,19603,24.46106467,2274,4569119,2,3.55E-05,0.025027035
1529,wearers,NN,2,"0,1,1",{(weare)}>er>,50,3,19603,24.46106467,2274,4569119,2,3.55E-05,0.025027035
1530,wearier,JJ,2,"0,1,1",{(weary)}>er>,80,6,1511,79.19049714,2274,4569119,2,3.55E-05,0.025027035
1531,weariest,JJ,2,"0,1,1",{(weary)}>est>,80,6,1511,51.61290323,714,287086,3,0.000261246,0.01158659
1546,weavers,NN,2,"0,1,1",{(weave)}>er>,0,3,5685,8.886933568,2274,4569119,2,3.55E-05,0.025027035
1563,weedy,JJ,2,"0,1,1",{(weed)}>y>,20,11,5282,32.83702213,2486,3870233,1,4.99E-05,0.029816159
1572,weenier,JJ,2,"0,1,1",{(weenie)}>er>,0,1,0,87.1975363,2274,4569119,2,3.55E-05,0.025027035
1573,weeniest,JJ,2,"0,1,1",{(weeny)}>est>,100,2,178,48.10659187,714,287086,3,0.000261246,0.01158659
1599,weirder,JJ,2,"0,1,1",{(weird)}>er>,50,7,18553,28.81654201,2274,4569119,2,3.55E-05,0.025027035
1600,weirdest,JJ,2,"0,1,1",{(weird)}>est>,66.66666667,7,18553,10.37868163,714,287086,3,0.000261246,0.01158659
1601,weirdie,NN,2,"0,1,1",{(weird)}>y>,100,7,18553,57.90744467,2486,3870233,1,4.99E-05,0.029816159
1602,weirdness,NN,2,"0,1,1",{(weird)}>ness>,16.66666667,7,18553,3.301127214,1243,181553,4,0.000583852,0.016375715
1603,weirdos,NN,2,"0,1,1",{(weird)}>o>,33.33333333,7,18553,63.63636364,12,16972,1,0,0
1610,welders,NN,2,"0,1,1",{(weld)}>er>,100,2,3506,26.17685878,2274,4569119,2,3.55E-05,0.025027035
1625,welshers,NN,2,"0,1,1",{(welsh)}>er>,66.66666667,4,3434,59.56885174,2274,4569119,2,3.55E-05,0.025027035
1651,vaporizing,VB|NN|JJ,2,"0,1,1",{(vapor)}>ize>,50,7,7198,21.91142191,430,443161,3,0.00014893,0.0101962
1660,variants,NN,2,"0,1,1",{(vary)}>ant>,33.33333333,16,207962,6.911447084,464,1534593,3,7.82E-06,0.001853854
1666,variegation,NN,2,"0,1,1",{(variegate)}>ion>,100,2,104,89.79974969,1599,6530204,3,9.03E-06,0.009114784
1667,variegations,NN,2,"0,1,1",{(variegate)}>ion>,100,2,104,89.79974969,1599,6530204,3,9.03E-06,0.009114784
1692,vastest,JJ,2,"0,1,1",{(vast)}>est>,100,5,16907,51.61290323,714,287086,3,0.000261246,0.01158659
1693,vastness,NN,2,"0,1,1",{(vast)}>ness>,50,5,16907,10.54750403,1243,181553,4,0.000583852,0.016375715
