text,speaker
what's this ?,child
let's go in there .,child
how do you do that ?,child
oh I want .,child
I wanna read that .,child
how do you read it ?,child
I wanna read again .,child
you can .,child
you can ...,child
do you need a ball ?,child
help me .,child
where's the bottle ?,child
I'm tired .,child
are you tired ?,child
and that .,child
what's this ?,child
and there ?,child
a gah Madeleine .,child
get down .,child
I do .,child
does it boom ?,child
I go .,child
the family .,child
I wanna see .,child
what's that ?,child
mommy can we went go ?,child
is this your friend ?,child
who's there ?,child
oh okay .,child
like this ?,child
in the garbage !,child
Brian come here .,child
carry me up .,child
no no !,child
what's in there ?,child
doo da .,child
jumping bean .,child
hurry up .,child
I get up ?,child
what's that ?,child
I don't know .,child
and that ?,child
a kiss ?,child
I got you .,child
you yell ?,child
here balld ?,child
will give that ?,child
give me that ?,child
you want it ?,child
I want .,child
out there .,child
oh bad .,child
I don't want food .,child
do you have dirty hands ?,child
like that ?,child
that your ?,child
get away !,child
do you really want that .,child
what do you say ?,child
what's that ?,child
I want uppy uppy .,child
why you leave it ?,child
oh yeah .,child
oh yeah .,child
"oh , yeah .",child
I like it .,child
too too too too .,child
too too .,child
aa oo .,child
too too .,child
too too .,child
te te .,child
ba wa wa .,child
I don't wanna .,child
I can't sleep with my bottle ?,child
let me up .,child
no no no !,child
a no ?,child
over there .,child
dji pa !,child
gi ah !,child
ah Micah .,child
oh how you Micah ?,child
yah wees gara .,child
I want taperecorder .,child
oh boy .,child
oh boy .,child
oh pop .,child
oh pa .,child
car key .,child
car key .,child
uppy uppy .,child
ah ah .,child
I gotta go pee .,child
ah ah .,child
he's gone .,child
what doing ?,child
is that a camera ?,child
ah eee .,child
let's go .,child
oh dear .,child
a yeah .,child
"oh yeah , yeah .",child
ai ai ai aiye .,child
gonna buy Flintstone ?,child
bug off .,child
sorry Daddy .,child
please may I have it .,child
no thank_you .,child
no thank_you .,child
don't fool around .,child
don't fool around .,child
you go get it .,child
I wanna come in .,child
I wanna come in .,child
where's the Gonk .,child
where Gonk .,child
I wanna see Gonk .,child
see Gonk I wanna see Gonk .,child
Matt hit it the ball .,child
Seth likes it .,child
I'm doing pee_pee on the grass .,child
I'm doing pee_pee on the grass .,child
no Flintstones .,child
no Flintstones .,child
I want another too .,child
I want another too .,child
there don't you see it ?,child
you find it ?,child
no don't take off .,child
no don't take off my pants .,child
no don't take my pants off .,child
no more helping .,child
no more helping .,child
Mark coming downstairs .,child
I take away from Marky a bear .,child
go to sleep you Mommmy .,child
go to sleep you .,child
where my bottle ?,child
where my bottle ?,child
where my bottle ?,child
you wanna sit down ?,child
Daddy you wanna sit down ?,child
Kitty went bye bye .,child
yeah Kitty go office .,child
Kitty go to the office .,child
Kitty went bye bye .,child
I don't know where did she go ?,child
well Kitty went away .,child
Mommy coming .,child
no don't take a walk .,child
no don't take a walk .,child
don't take a walk .,child
no pushing Marky .,child
help me Matt .,child
help me .,child
help me Matt .,child
that my fall .,child
my falls gone .,child
let me talk .,child
let's go outside .,child
let's go outside .,child
you think so .,child
you think so .,child
you think so too ?,child
you think so .,child
I think so too .,child
where's table ?,child
table gone .,child
table gone .,child
they're from Mary .,child
here what you got etcetera .,child
here Mommy .,child
here Mommy .,child
here what you got ?,child
here what you got ?,child
tiger bit Daddy .,child
tiger bit tiger .,child
oh poor Daddy .,child
how dare you .,child
I wanna get down .,child
I wanna get down .,child
I wanna get down .,child
tiger got me see .,child
right there .,child
yeah right there .,child
right there .,child
tiger got me .,child
right there .,child
you fell off .,child
fell off .,child
you fell off .,child
cut up a mess .,child
wanna get uppie .,child
wanna get uppie .,child
wanna get uppie .,child
I wanna get uppie .,child
I wanna get uppie .,child
I wanna get uppie .,child
I wanna get uppie .,child
wanna get down .,child
oh too heavy .,child
I'm sick .,child
Marky's not sick Marky's a good boy .,child
what do you got ?,child
what do you got ?,child
what do you got ?,child
four five six seven eight nine eleven .,child
gonna feed Cicus .,child
no cheche_baba .,child
a baba .,child
nuh not a baba .,child
not a cheche_baba .,child
not a cheche_baba .,child
not baba .,child
no engbaba .,child
I wanna hit Mark .,child
don't hit Mark .,child
I wanna hit Mark .,child
you might hurt him .,child
hurt me ?,child
I might hurt Marky ?,child
don't hit Marky .,child
you might hurt him .,child
for Ross' .,child
for Daddy's .,child
for mine .,child
for mine .,child
I'm going to pull Marky's hair .,child
go pull Marky's hair .,child
Marky's a bad boy .,child
Marky bit me .,child
Marky a bad boy .,child
Marky bit me .,child
no Marky a good boy .,child
Marky okay .,child
Marky's a good boy .,child
look at that nice table .,child
that nice table .,child
that's a good idea .,child
don't go out there .,child
you hold please .,child
pretty please .,child
pretty please .,child
Mister Gomez .,child
I don't know .,child
Mister Gomez .,child
my name's Ross .,child
I four .,child
I fours .,child
two years old .,child
he's going over it in his head .,child
I live ...,child
in Denver yeah .,child
York street .,child
Brian MacWhinney .,child
you go office .,child
I need go office .,child
you go office .,child
get my things .,child
get my things .,child
there's my dancer .,child
there's my dancer .,child
I know .,child
I get down .,child
I wanna get it down .,child
the spider goes ah ...,child
spider go went outside .,child
where spider go ?,child
I'm gonna give five here .,child
I had enough .,child
Erine want some hotdogs .,child
had enough .,child
I eat it all up .,child
I finished .,child
that good .,child
Mark did that .,child
you made a mess Mark .,child
Mark bad boy .,child
Mark good boy .,child
let's help Mark .,child
let's help Mark .,child
where go you ?,child
where you going ?,child
I'm going to conference .,child
I knew that .,child
there's picture .,child
there's Mark's picture .,child
I want my shoes .,child
that hurt .,child
wanna touch it .,child
I wanna !,child
I can turn it on .,child
it's too hard .,child
I'm gonna get wet .,child
let's get out_of here too .,child
look it .,child
look at tiger .,child
tiger bad .,child
there's tiger .,child
I move around .,child
there's tiger .,child
where cat ?,child
eat food you gong_gong .,child
yeah gong_gong .,child
I don't come preschool I have fun Delma's .,child
can't go to preschool I'm sick .,child
my back hurts .,child
I wanna see Seth .,child
look at Seth .,child
I guess not .,child
I'm gonna bit it .,child
I can't open it .,child
it too hard .,child
I dropped it .,child
I can't open it .,child
I can't a_lot_of things .,child
no way Mommy .,child
let's touch big Hulk .,child
Incredible Hulk .,child
can't touch Hulk .,child
touch the Hulk .,child
wanna get in .,child
I get in .,child
can't do it .,child
there's window .,child
no Daddy's not going to take a shower .,child
no Daddy's not going to take a shower .,child
I turn it off .,child
I want my pencil .,child
my shoes !,child
oh yeah .,child
put milk in it .,child
put milk in it .,child
to Albuquerque .,child
want beer !,child
a laughing cow right there .,child
tigers eat cheese .,child
a big tiger .,child
a little tiger .,child
yeah little tiger .,child
yeah a little tiger /.,child
big tiger ?,child
dirty Suzy .,child
dirty Mommy .,child
dirty Daddy .,child
dirty flowers .,child
dirty spoon .,child
dirty fork .,child
dirty chair .,child
dirty table .,child
dirty plate .,child
dirty mouth .,child
dirty table .,child
dirty chair .,child
dirty flowers .,child
dirty mouth .,child
dirty fork .,child
dirty plate .,child
dirty fork .,child
dirty nose .,child
dirty mustache .,child
dirty tongue !,child
dirty mouth .,child
dirty chins .,child
dirty chin ?,child
dirty father .,child
dirty back .,child
dirty back .,child
dirty legs .,child
dirty back .,child
dirty back .,child
don't turn it off .,child
that's hot .,child
that's cold .,child
not hot .,child
not dirty .,child
that better .,child
not my back hurt .,child
my back hurts .,child
not my back hurts .,child
Marky back hurt .,child
I got hat .,child
I got hat .,child
I get hat .,child
one two three five six seven .,child
I give it for you .,child
where's your stick ?,child
I want my stick .,child
I want my stick .,child
tiger gonna feed my breast .,child
tiger gonna eat my breast .,child
want some .,child
wanna suck my breast ?,child
want enough ?,child
want more .,child
I wanna sit on tree .,child
put it in the garbage .,child
I say bye to you .,child
do you wanna climb it ?,child
yeah I wanna climb it wanna climb it .,child
you get key yours .,child
I won't !,child
yes I big monster .,child
no big monster .,child
I'm a big tiger .,child
I wanna talk it .,child
talk it .,child
don't say June .,child
well say June is bad .,child
June nice .,child
no nice .,child
talk in that microphone .,child
see that moon .,child
moon talk .,child
moon say couf .,child
wanna touch it .,child
I can't too .,child
I sing stars .,child
oh yeah .,child
no thanks !,child
I finished food .,child
tiger bit me .,child
right here .,child
right there .,child
I got wet .,child
that cold water .,child
I got all dry .,child
it cold .,child
Incredible_Hulk let's get Matt .,child
I wanna get two berries .,child
that fit me ?,child
that fit me .,child
want two shoes .,child
give you fix it .,child
that okay .,child
hi Mary .,child
don't yell Mom .,child
it's on .,child
well they take it .,child
Shana take it away .,child
take my hat .,child
that's for Shana .,child
well it gone .,child
hat gone .,child
Daddy be back Monday Tuesday Wednesday Tuesday Friday five days .,child
Marky learning to crawl .,child
I eat kitty hotdogs .,child
get kitty some more .,child
because they were kitty's .,child
they're kitty's .,child
I'm the Incredible_Hulk .,child
wanna go for a walk .,child
let's see Ralches .,child
see Rachal .,child
see Timmy .,child
I big monster .,child
no I can't eat my Daddy .,child
I don't wanna eat spaghetti okay .,child
not eat you okay .,child
want pie ?,child
no shirt off .,child
leave it there .,child
don't spilled it .,child
I wanna drink .,child
I wanna drink tea .,child
Mary Poppins dancing .,child
tiger got my neck .,child
my tummy hurts .,child
tiger not bad boy my tiger feeling better .,child
my tummy not hurts .,child
tiger don't get me .,child
no tiger get me .,child
tiger didn't get me .,child
tiger got me .,child
I gonna go preschool .,child
I'm gonna go a preschool .,child
I'm gonna go a preschool .,child
I'm gonna go a preschool .,child
I'm gonna go a preschool .,child
I'm gonna kill my plate .,child
don't kill my plate .,child
don't kill my car .,child
don't kill my car .,child
don't kill my car .,child
don't get my plate .,child
don't get my car .,child
you gonna that way .,child
okay go .,child
you go that way .,child
I gonna be back .,child
my Daddy gonna be back .,child
my Mommy going conference .,child
right Mommy ?,child
my Mommy gonna come back .,child
my Mommy in there .,child
my Daddy in there .,child
my Daddy in there .,child
my Mommy in there .,child
my Mommy going hold on .,child
my Daddy going hold on .,child
my Mommy hold on .,child
wanna hold my Mommy .,child
wanna hold my Mommy .,child
wanna hold my Mommy .,child
Mary Poppins got killed .,child
I see killed .,child
the man killed .,child
the actor killed .,child
the man hanged the man hanging .,child
I have a bad nice cough .,child
I did that .,child
wanna see Erin did that .,child
I go sunglasses on .,child
you going to get your sunglasses on ?,child
I need help .,child
I wanna get him .,child
Marky wants Daddy .,child
I'm gonna get big like me .,child
gonna get big like you .,child
get your bottle .,child
I got a bad nice cough .,child
Marky scream .,child
I got there a .,child
I got a tumble .,child
they're sunglasses .,child
wanna see the football helmet .,child
I gotta do a_lot_of poo .,child
I try to do more poo .,child
feed you Marky .,child
at preschool .,child
wait four days .,child
right now .,child
my name ...,child
I live Denver .,child
is Mommy going to feed my Marky ?,child
Mommy going to feed my Mommy .,child
what's wrong with Mark ?,child
he's crying .,child
he bumped his head .,child
well Rachel is picking me up .,child
and Rachel not bad boy .,child
going to see Jacob later ?,child
he tickles .,child
I hit Incredible_Hulk .,child
you do it help yourself .,child
I got my own .,child
you got that .,child
that you ?,child
oh that's mine .,child
that mine ?,child
what's you ?,child
that Mommy's ?,child
that one for me .,child
I see what that ?,child
what that ?,child
that mine ?,child
I don't want my pants .,child
they're dirty .,child
they got milk on them .,child
on my pants ?,child
there big pee_pee .,child
more popsicles .,child
right there .,child
right there .,child
my bandage .,child
that my that my that not my bandage .,child
that big .,child
that big .,child
that big .,child
I see a telephone .,child
at preschool ?,child
the boys did that .,child
boys not bad boys .,child
do hurt me .,child
do hurt me .,child
do hurt me .,child
they hurt me .,child
they don't hurt me .,child
at preschool .,child
at preschool I walk .,child
I walk .,child
at preschool .,child
at preschool .,child
at preschool .,child
at preschool .,child
at preschool .,child
what can I say ?,child
hm I fall over .,child
I fell over .,child
at preschool .,child
right here .,child
right there .,child
you come back right here ?,child
right there .,child
right there .,child
right there ?,child
I wanna see .,child
no right there ?,child
right there .,child
came right there ?,child
fly over ?,child
way up ?,child
way up ?,child
you came back ?,child
at door ?,child
went to Delma's ?,child
yeah I wanna see Delma .,child
not today .,child
I'm gonna make you doctor .,child
you feel better ?,child
you okay ?,child
are you a lion ?,child
right there .,child
I take off .,child
oh is that why you wanted to take it off ?,child
I don't know .,child
I don't know .,child
I don't know .,child
I don't know .,child
I throw it over there .,child
I'm going to get the door .,child
because I wanna .,child
over there .,child
oh yeah .,child
oh I see .,child
for what ?,child
I just I went to preschool .,child
I I eat carrot sticks .,child
I eat orange .,child
I eat ...,child
I see Mary Puppet .,child
I get in the movie .,child
and horse and Dumbo .,child
uhhum Dumbo says eeeeeya .,child
he's a kitty .,child
Dumbo a lion .,child
he's an elephant .,child
he's elephant .,child
because he wants to .,child
I I needta .,child
I want I want my superman .,child
I want a I want my Biderman .,child
I want my Bierman .,child
I want my Biderman shirt .,child
I want Superman shirt .,child
I want ...,child
you put it in the wash okay .,child
it will be cleaner .,child
I I got tea on it .,child
he put it on my leg .,child
not on my leg .,child
he scratched me .,child
I want a bandaid hurt me .,child
the boy hurt me .,child
the boy hurt me .,child
the boy wanna .,child
his name Shana .,child
Cassie hurt me .,child
Katie hurt me .,child
right there .,child
yeah they are bad girls .,child
they hurt me .,child
not bad .,child
hi Mark .,child
happy birthday .,child
nice Mark .,child
I did it at preschool .,child
I did it at preschool .,child
three four five six seven eight nine .,child
yeah a little eleven .,child
he's eleven .,child
that nice .,child
that nice one .,child
right there .,child
right there .,child
right there .,child
right there .,child
right there .,child
right there .,child
right there .,child
right there .,child
the big one .,child
Mark get back in your chair .,child
in trouble .,child
he's going to get angry .,child
he going to get angry with you .,child
you better watch out .,child
get in trouble .,child
I'm going to get angry .,child
I'm gonna make you feel better .,child
I'm going to make you happy .,child
are you feeling better now ?,child
I'm feeling better .,child
you don't want me to tiger anymore ?,child
that's yucky .,child
yicky baby food .,child
nothing for me .,child
I want some .,child
no no !,child
I don't yike it .,child
I want some meat .,child
I want some meat baby food .,child
I don't yike that .,child
I'm gonna get baby food .,child
you be happy ?,child
you crying ?,child
you record okay .,child
you bump my head .,child
you bump my head .,child
no like this .,child
what's that !,child
one more .,child
one more time .,child
one more time .,child
I hurt you ?,child
I'm gonna get doctor .,child
wait there .,child
there getting better ?,child
I am going to hurt you right there .,child
play that you happy .,child
you feel better ?,child
I'm gonna hurt you .,child
I'm gonna hurt you right there .,child
I make you happy ?,child
lot better .,child
you feel better ?,child
are you a little doctor .,child
I'm going to be a doctor okay ?,child
where's the doctor ?,child
where's the doctor .,child
where's the doctor ?,child
where's the doctor ?,child
here's the doctor .,child
does it really hurt you .,child
I'm making you happy ?,child
my tummy not hurts .,child
my elbow not hurt me .,child
what that ?,child
oh that your little button ?,child
is that your real button ?,child
real button .,child
real button .,child
oh I see you want it off ?,child
you want it on ?,child
pet big doggie .,child
he's a big doggie !,child
I little doggie .,child
I little doggie .,child
you make a tiger .,child
make a tiger !,child
right there .,child
that cute .,child
that's cute tiger .,child
that cute tiger .,child
tiger good boy .,child
I hit a tiger .,child
bad tiger .,child
there you go .,child
do you want tiger ?,child
here tiger .,child
empty tiger .,child
do you want some tiger ?,child
I give big tiger a bracelet .,child
here tiger .,child
here you be you be tiger .,child
I'll be incredible Hulk .,child
I'm six .,child
I'm nine .,child
no I'm not two years old .,child
no I four .,child
no I four .,child
not four ?,child
I Nine ?,child
and Shana's nine ?,child
no I nine .,child
Jeremy five .,child
hum fire crackers .,child
tiger going to see me again .,child
I gonna drop tiger .,child
I dropped the tiger .,child
I pushed the tiger .,child
and then he bite me .,child
tiger gonna get me .,child
tiger's going to get my junk .,child
tiger my pencil .,child
Mark Hi .,child
Mark is going to kiss him Marky get Flintstones .,child
after dinner .,child
don't work don't work okay .,child
this is Denver .,child
that's a clock .,child
this is six .,child
that's a that's a a light .,child
lamp right there .,child
lamp right .,child
I'm going to turn it on .,child
I'm going this way .,child
that way .,child
I hafta go to bed .,child
not go to bed .,child
where is him ?,child
where is he ?,child
he gone !,child
Mark's standing .,child
look at Marky doing .,child
he is standing .,child
what Marky doing ?,child
what Marky say ?,child
Marky say click .,child
where Marky say ?,child
I gonna push you .,child
where garbage .,child
I can't open door .,child
I hafta go this way .,child
I can't open door I hafta go a different way .,child
I wanna go different way .,child
there now I opened the door .,child
I opened the door .,child
I can't .,child
because I'm too happy .,child
yeah I'm too little .,child
I'm the big incredible hunk .,child
you're my best friend .,child
yeah you really blew that .,child
don't quick Marky .,child
no more .,child
close door to outside .,child
I got water in it .,child
I got one cookie .,child
you make it better .,child
you do it better .,child
do it do it .,child
you did that .,child
the bulk .,child
Shana hurt me .,child
right here .,child
I hurt .,child
Shana did it .,child
Shana yelled .,child
I fell .,child
Shana hurt me .,child
she Erin did it .,child
yeah and Erin .,child
bear wanna sleep with me .,child
daddy morning me .,child
I got soap .,child
you a poor mommy .,child
she's in bad shape .,child
you're not bad !,child
I I I I pits .,child
I I I I pits .,child
I spits .,child
that brave horse .,child
brave horse .,child
he can fly .,child
he hit a boy .,child
that one mine .,child
he can't talk .,child
he's not going to talk .,child
horse is not going to talk .,child
"because , , he's not .",child
he wants to eat .,child
"wait , he wants to eat grass .",child
he bite it .,child
he spit it out .,child
that one mine .,child
that two mine .,child
eleven too mine .,child
want more nail polish .,child
I want I want more nail polish .,child
"Marky , him pipis .",child
"him , him .",child
Mommy got him pants ?,child
you got you pants ?,child
you got your pants on ?,child
"no , Mommy .",child
I played boys .,child
does it do you have ...,child
does it have pants ?,child
does it have pants ?,child
"oh , I see .",child
is that yours ?,child
my pants all wet .,child
"this , what that ?",child
a button .,child
a button .,child
two buttons .,child
two one buttons .,child
five buttons .,child
"four , five , six .",child
"one , two .",child
"three , four , seven .",child
"five , two , four , four .",child
this one ?,child
I play boys .,child
I kill monsters .,child
I spaceship and I go like this pssssh and monsters go grrrrr .,child
monsters go grrr .,child
we a spaceship .,child
it go psss .,child
my best friend .,child
my Marky .,child
"yeah , I'm sleeping .",child
I'm sleeping .,child
I'm sleeping .,child
", Marky's in the kitchen .",child
in the kitchen .,child
I'm going swimming tomorrow .,child
I'm going swimming tomorrow .,child
you take my shirt off .,child
you take my shirt off .,child
will you ?,child
I got that .,child
by tub .,child
I wanna talk to okay .,child
I wanna talk to you .,child
"I going to talk to you , okay ?",child
I wanna get present .,child
I wanna get present .,child
oh I see I'm gonna see a presents .,child
I'm going to see a presents .,child
tomorrow later ?,child
tomorrow later ?,child
no today .,child
"today , later .",child
"today , later .",child
today later ?,child
Marky get foot under self .,child
he hurt him foot .,child
and he hurt him foot .,child
I'm going swimming tomorrow .,child
why why you go on .,child
"why , why ?",child
"you go on , okay .",child
where you glasses sun ?,child
where you glasses sun ?,child
wanna see my glasses .,child
I wanna see my glasses .,child
in the box .,child
in the closet .,child
put in my pocket .,child
where my Bert ?,child
want more again .,child
I I wanted that .,child
I want that .,child
"yeah , I want my teddy bear .",child
it's got water in it .,child
"tomorrow , tomorrow your day .",child
I drinking .,child
I got table wet .,child
I got table wet .,child
I got table wet .,child
I'm going dry Markie off .,child
his socks dirty .,child
his socks dirty .,child
Marky's got his socks all wet .,child
he Marky got socks all wet .,child
Marky's got him socks all wet .,child
he got him socks all wet .,child
I need my lawnmower help .,child
I need my lawnmower help .,child
I need my lawnmower help .,child
"whoops , I burped .",child
you excuse me .,child
I excuse me .,child
I want some bottle tops .,child
I want some bottle tops .,child
I gotta burp .,child
I gotta burp .,child
mommy funny boy .,child
mommy funny boy .,child
you funny boy .,child
you funny boy .,child
you funny boy .,child
you a bad boy .,child
you're a bad boy .,child
I'm a good boy .,child
I'm a good boy .,child
"you Mommy , okay .",child
you Mommy .,child
Marky not cry .,child
Marky not cry .,child
Marky nice .,child
Marky nice .,child
Marky not bad boy .,child
Marky not a bad boy .,child
"Daddy , what you doing ?",child
what do you doing ?,child
I'm eating popsicle .,child
I'm eating popsicle .,child
I have a popsicle for Ross .,child
I have a popsicle for daddy .,child
well I see them .,child
I see them .,child
I have my popsicles and I came back a boss .,child
I came back a boss .,child
I'm going to preschool .,child
I'm going to preschool .,child
I come back a boss .,child
because I go back boss .,child
I go back boss .,child
want it back .,child
oh back .,child
I want it back .,child
that's an elephant .,child
that's a elephant .,child
no more popsicles .,child
no more popsicles .,child
want a big one .,child
I want a big one .,child
"I want a big , well , popsicles .",child
want a big popsicles .,child
look it Mark's shoes .,child
it Marky's shoes .,child
look at Marky's shoes .,child
look at Marky's shoes .,child
I got Marky's bottle .,child
I got Marky's bottle .,child
I you do .,child
you big one .,child
I stole it .,child
I stole it .,child
"ow , tiger got me !",child
"ouch , tiger got me .",child
you coming back ?,child
you coming back ?,child
wanna play with Mark .,child
I wanna play with Mark .,child
that cold water .,child
I wanna I wanna play with Mark .,child
that cold water .,child
that cold water .,child
I see that cold .,child
that cold water .,child
I see that couch .,child
no Mark don't play that .,child
"no , Mark , don't play that .",child
that your hair .,child
that your hair .,child
right there .,child
yeah tomorrow .,child
he gonna to boil bottles .,child
want Marky bottle .,child
I want Marky bottle .,child
my knee hurts .,child
my knee hurts .,child
bad tiger .,child
bad tiger nice .,child
tiger nice .,child
look that man .,child
look that man .,child
tiger man .,child
look that man .,child
that mail ?,child
I want mail more .,child
"daddy , where daddy ?",child
wanna see Daddy .,child
gonna see Daddy .,child
I wanna see Daddy .,child
where is my clean towel ?,child
where's clean towel ?,child
where's him ?,child
where's him ?,child
where's Ernie ?,child
make it dry .,child
make it dry .,child
want more lemonade .,child
I want more lemonade .,child
one more .,child
one more .,child
one more .,child
where is it ?,child
I don't have any .,child
where is it ?,child
I don't know .,child
in the door .,child
in the door .,child
one more in the door okay ?,child
one more in the door .,child
he all green .,child
I all green .,child
he doesn't know how talk .,child
I know how to talk .,child
he know how growl .,child
I know how growl .,child
he go up there .,child
I go up there like him .,child
no I don't wanna play Grover .,child
I nice guy .,child
Marky nice guy .,child
come on nice guy .,child
I like Shana .,child
Shana like me .,child
I gotta put on it .,child
this little guy I big guy .,child
you his big brother .,child
no I big guy .,child
he a horsie .,child
ouch my tummy hurts .,child
I want bandaids .,child
I want bandaids .,child
I want bandaids .,child
I want bandaids .,child
A dog .,child
Oh yeah .,child
we go Delma's ?,child
four five ?,child
he got him pants .,child
I got my pants too .,child
you do it .,child
"mm , let me do it .",child
there's the pit .,child
water teacup .,child
where firecrackers ?,child
Jeremy coming and you coming .,child
mommy coming and all the people coming .,child
are you going to talk about the bandaids ?,child
I want my flowers bandaids .,child
Erin did that .,child
and Shana did that .,child
Eric did that .,child
Eric did that .,child
I'm not too sick office .,child
I'm too sick preschool .,child
I'm too sick for preschool .,child
I'm not too sick office .,child
I will at it .,child
I will at it .,child
I will at it .,child
because I wanna .,child
you want a money ?,child
I gotta pocket .,child
you want a money ?,child
here is it .,child
here it is .,child
Marky not get hurt .,child
the movie hurt .,child
the snake hurt .,child
lady yelled at snake .,child
snake doctor .,child
giraffe need doctor ?,child
giraffe wanted to see snake .,child
I talking about the lady yelled snake .,child
are you going to get some candy for me ?,child
I going swimming in preschool .,child
from right there .,child
from right there .,child
from right there .,child
from right there .,child
"mm , right there .",child
I'm going to put that .,child
I'm going to get up here .,child
please take my shoes off .,child
I'm gonna fall .,child
I fall .,child
I fell and hurt my leg .,child
"yeah , I fell my toe .",child
Mommy can I come in ?,child
I wanna come in .,child
"well , yeah .",child
my raisin in pocket .,child
the ball not all wet .,child
look at Credible_Hulk .,child
one for me .,child
you gonna make some candy ?,child
you gonna make some candy ?,child
I wanna eat raisin in a paper .,child
here's a candy .,child
good raisins .,child
mommy gonna wrap up raisins .,child
that my Snoopy ?,child
that my Snoopy ?,child
that my Snoopy ?,child
put it on your head .,child
that my Snoopy .,child
I put my pants on .,child
mommy put on my pants .,child
you working ?,child
don't work .,child
I say man Spiderman .,child
I see Spiderman .,child
you gonna see Spiderman .,child
don't sing it .,child
don't sing it .,child
don't sing it yet .,child
don't sing it .,child
can sing it .,child
birthday to you .,child
happy birthday to you .,child
happy birthday to you .,child
happy birthday to you .,child
happy birthday to you .,child
where's you piece ?,child
where's Mark piece ?,child
that's my piece .,child
yeah ‡ that's good .,child
let's eat the .,child
okay ‡ on me .,child
put it on me .,child
this their ears .,child
tiger run away ?,child
bad tiger .,child
and Dad go sleepy ?,child
and this tiger bite him ?,child
right there ?,child
that hurt ?,child
and tiger got me .,child
on my knee .,child
where's the glasses ?,child
where's the glasses ?,child
where's the glasses ?,child
where's the glasses ?,child
where's your glasses ?,child
I'll go look .,child
I want .,child
do tiger got your hair ?,child
bad tiger .,child
tiger got my hair .,child
tiger got bear .,child
